p_throws,stand,balls,strikes,n_pitchers,take_mass_drawn,take_mass_exact,take_mass_gap,share
L,L,0,0,200,0.6865247730942778,0.6916095138614934,-0.005084740767215545,0.07627821345251146
L,L,0,1,200,0.5748929275219489,0.5637007869980593,0.011192140523889615,0.07627821345251146
L,L,0,2,200,0.5772441026052927,0.5706534463004045,0.006590656304888198,0.07627821345251146
L,L,1,0,200,0.5777584402254008,0.5713819948631803,0.006376445362220484,0.07627821345251146
L,L,1,1,200,0.4871886724858493,0.4952059200710539,-0.008017247585204612,0.07627821345251146
L,L,1,2,200,0.5146758108033949,0.4989007602148556,0.015775050588539286,0.07627821345251146
L,L,2,0,200,0.5505840426494886,0.5394212833665015,0.011162759282987045,0.07627821345251146
L,L,2,1,200,0.4327921310784183,0.4502685262252415,-0.017476395146823198,0.07627821345251146
L,L,2,2,200,0.41401595691340176,0.41122155656083725,0.002794400352564508,0.07627821345251146
L,L,3,0,200,0.9041695344876451,0.9074784039013534,-0.0033088694137082264,0.07627821345251146
L,L,3,1,200,0.4510606282855457,0.460007366982718,-0.008946738697172274,0.07627821345251146
L,L,3,2,200,0.34665558316956935,0.33783959426296406,0.008815988906605288,0.07627821345251146
L,R,0,0,200,0.6595420189927106,0.6752511530774653,-0.015709134084754717,0.19598160328301992
L,R,0,1,200,0.5549600626521712,0.5570473993600757,-0.002087336707904508,0.19598160328301992
L,R,0,2,200,0.5776655574260343,0.5741493417974062,0.0035162156286281387,0.19598160328301992
L,R,1,0,200,0.5227874058672239,0.5469326375311283,-0.024145231663904365,0.19598160328301992
L,R,1,1,200,0.4797149588030307,0.47079165605681395,0.008923302746216777,0.19598160328301992
L,R,1,2,200,0.4890222700293585,0.49023336025529973,-0.001211090225941236,0.19598160328301992
L,R,2,0,200,0.5007211020192701,0.511779925246288,-0.0110588232270179,0.19598160328301992
L,R,2,1,200,0.4179631459946931,0.42655922856808953,-0.008596082573396446,0.19598160328301992
L,R,2,2,200,0.42952732801278326,0.40272542494530006,0.0268019030674832,0.19598160328301992
L,R,3,0,200,0.8684622147257981,0.8729885122202041,-0.004526297494406029,0.19598160328301992
L,R,3,1,200,0.40340141169438337,0.4255514157469486,-0.02215000405256523,0.19598160328301992
L,R,3,2,200,0.3392129738684162,0.3330188834621053,0.006194090406310915,0.19598160328301992
R,L,0,0,200,0.6855725910875856,0.6873258339980474,-0.0017532429104617497,0.3358741836954587
R,L,0,1,200,0.5356206572392048,0.5575206607916083,-0.021900003552403513,0.3358741836954587
R,L,0,2,200,0.5681241620466042,0.5751334941529527,-0.007009332106348465,0.3358741836954587
R,L,1,0,200,0.5590480062926432,0.5650722699352904,-0.006024263642647187,0.3358741836954587
R,L,1,1,200,0.4841190873845602,0.48706272851136173,-0.0029436411268015106,0.3358741836954587
R,L,1,2,200,0.4953422120317995,0.4873781616414846,0.007964050390314892,0.3358741836954587
R,L,2,0,200,0.549538570695324,0.5398382469663365,0.009700323728987437,0.3358741836954587
R,L,2,1,200,0.4269455991878841,0.42169298397740707,0.005252615210477041,0.3358741836954587
R,L,2,2,200,0.4121301842499213,0.41128833945252874,0.0008418447973925769,0.3358741836954587
R,L,3,0,200,0.8858757897986571,0.8841467987349211,0.0017289910637360295,0.3358741836954587
R,L,3,1,200,0.42222301332619416,0.4179653330944386,0.004257680231755545,0.3358741836954587
R,L,3,2,200,0.33774115233081575,0.31824476219069076,0.019496390140124997,0.3358741836954587
R,R,0,0,200,0.6375843754915105,0.6561567024380106,-0.01857232694650013,0.3918659995690099
R,R,0,1,200,0.5368197228857507,0.5325678395860474,0.004251883299703385,0.3918659995690099
R,R,0,2,200,0.5662598164893279,0.5717951126610776,-0.005535296171749748,0.3918659995690099
R,R,1,0,200,0.5417495066629294,0.5245730992299744,0.01717640743295501,0.3918659995690099
R,R,1,1,200,0.4584250534226491,0.4565768647480924,0.0018481886745567166,0.3918659995690099
R,R,1,2,200,0.49097439392905096,0.5000342429812582,-0.009059849052207247,0.3918659995690099
R,R,2,0,200,0.5154973990258755,0.4972602000158841,0.018237199009991434,0.3918659995690099
R,R,2,1,200,0.40661035884285296,0.40316843408115016,0.003441924761702797,0.3918659995690099
R,R,2,2,200,0.39727462311868333,0.40938883563459305,-0.012114212515909717,0.3918659995690099
R,R,3,0,200,0.8644933063967213,0.8639592356548016,0.00053407074191969,0.3918659995690099
R,R,3,1,200,0.3968869147355492,0.4009227099530245,-0.004035795217475269,0.3918659995690099
R,R,3,2,200,0.2907488312467007,0.30741160721853095,-0.016662775971830246,0.3918659995690099
