min_eval_pa,opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_model_v1,rank_favours_model_v1
10,gbm_full,low,384,246,0.06053013736792326,0.060882648339536875,-0.0003525109716136163,-0.0025236114477741336,0.001807408501102511,0.6245,2000,True,0.16032459997712512,0.12361533312827964,0.03670926684884547,-0.08048230754897014,0.1547007501573949,0.741,False,False
10,gbm_full,medium,280,236,0.04554646114625008,0.047889563291813084,-0.0023431021455630058,-0.004470471882475162,-0.0001972575888799951,0.984,2000,True,0.4234731113751584,0.27952849879765074,0.14394461257750768,0.012518321027656815,0.2671058169840385,0.9855,True,True
10,gbm_full,high,493,321,0.03951933757745841,0.038531929055476984,0.0009874085219814255,-0.00045678053535913013,0.002426918908420084,0.089,2000,True,0.5006976737588362,0.4914093302471435,0.00928834351169272,-0.04789980740495731,0.06697523158654753,0.61,False,False
10,gbm_full,all,1157,618,0.04523847171373835,0.04530465567118646,-6.618395744811129e-05,-0.001059082348759166,0.0009689711199427418,0.5455,2000,True,0.4703995641411805,0.4206336570713547,0.04976590706982581,0.010999026472964642,0.08947937843632807,0.995,False,True
10,eb_bivariate,low,384,246,0.06053013736792326,0.06195027900461877,-0.0014201416366955086,-0.004720508725742845,0.0019751121322358818,0.7855,2000,True,0.16032459997712512,0.1290260380614709,0.03129856191565422,-0.08521635102389717,0.15167762758898404,0.6895,False,False
10,eb_bivariate,medium,280,236,0.04554646114625008,0.0492084696073572,-0.003662008461107119,-0.0062288302107487365,-0.0011362726011430139,0.999,2000,True,0.4234731113751584,0.22292758930013606,0.20054552207502235,0.06161231311957681,0.33432271046579587,0.997,True,True
10,eb_bivariate,high,493,321,0.03951933757745841,0.03874969187641732,0.0007696457010410857,-0.0007777359278832767,0.002293932214644599,0.1755,2000,True,0.5006976737588362,0.4819196879225459,0.018777985836290312,-0.04512103556076393,0.08066919167774253,0.724,False,False
10,eb_bivariate,all,1157,618,0.04523847171373835,0.04596756858331905,-0.0007290968695807046,-0.002059868359260268,0.0005961394030221778,0.8605,2000,True,0.4703995641411805,0.4024249448232275,0.06797461931795301,0.0151147797432695,0.12515100133023857,0.995,False,True
25,gbm_full,low,299,208,0.056348400827521,0.05627783349804222,7.056732947878508e-05,-0.0024408820275971426,0.0022546567278877066,0.492,2000,True,0.16140787336756,0.1175509711643709,0.043856902203189094,-0.07604482823565017,0.16066701017878204,0.7585,False,False
25,gbm_full,medium,245,211,0.04399085411568069,0.0464134023667209,-0.002422548251040213,-0.004598821048270359,-0.00031186116154817737,0.9885,2000,True,0.42572743414884573,0.2774464823109422,0.14828095183790352,0.025658335701901815,0.2647926986431931,0.99,True,True
25,gbm_full,high,473,309,0.0389605811542645,0.03796164250804799,0.0009989386462165087,-0.00043730781495241003,0.002407207984730281,0.076,2000,True,0.5005833066212559,0.49094889543368075,0.009634411187575187,-0.044162465428466996,0.06435193392082277,0.625,False,False
25,gbm_full,all,1017,570,0.043510292727958005,0.043469965750733676,4.0326977224329486e-05,-0.0009615314324782525,0.0010580510782385107,0.4595,2000,True,0.4695318631760152,0.4194072956675617,0.05012456750845351,0.010934664308451046,0.08967736128207977,0.996,False,True
25,eb_bivariate,low,299,208,0.056348400827521,0.05656552633013048,-0.00021712550260948038,-0.0040053146013015895,0.003235979603462679,0.5665,2000,True,0.16140787336756,0.14162626820686566,0.019781605160694327,-0.10460183708762544,0.15015154294843083,0.643,False,False
25,eb_bivariate,medium,245,211,0.04399085411568069,0.04772009407166105,-0.0037292399559803596,-0.006448599529588483,-0.0010969492015451168,0.997,2000,True,0.42572743414884573,0.22583264644883386,0.19989478770001187,0.0547956684826598,0.33971038040239104,0.9965,True,True
25,eb_bivariate,high,473,309,0.0389605811542645,0.038201623515390755,0.0007589576388737432,-0.0008387977871954265,0.002334288358337266,0.1775,2000,True,0.5005833066212559,0.4812290351851034,0.019354271436152537,-0.03972683253697989,0.08273492323944573,0.737,False,False
25,eb_bivariate,all,1017,570,0.043510292727958005,0.04395562756201,-0.00044533483405199276,-0.001850801407657504,0.000929222852619931,0.7355,2000,True,0.4695318631760152,0.40474243104990487,0.06478943212611032,0.00704332776240602,0.12202993377356673,0.989,False,True
50,gbm_full,low,211,163,0.05261747940659597,0.05199036570144526,0.0006271137051507072,-0.0021243604491570866,0.0031883631005900047,0.3315,2000,True,0.15996341533678748,0.09429993828823863,0.06566347704854886,-0.07616882266279364,0.20426191282537948,0.8195,False,False
50,gbm_full,medium,210,181,0.042492574604301475,0.044995938433068226,-0.002503363828766751,-0.004637908545596001,-0.00037319630068254224,0.9885,2000,True,0.424605176731818,0.27071140346244,0.15389377326937803,0.02524203766444942,0.2806439408767229,0.992,True,True
50,gbm_full,high,437,295,0.037741468628810414,0.03682135684092769,0.0009201117878827256,-0.0005249922844035749,0.0023352951737623663,0.1,2000,True,0.49754938546395544,0.4887722807671954,0.008777104696760019,-0.04980191294242535,0.06571771106184629,0.6085,False,False
50,gbm_full,all,858,508,0.041477288550430265,0.041374512929866276,0.00010277562056398848,-0.0010511612943494585,0.0011736319179119368,0.4215,2000,True,0.4685069998526586,0.417263094129011,0.051243905723647565,0.01078850867122805,0.0930020233567887,0.992,False,True
50,eb_bivariate,low,211,163,0.05261747940659597,0.05130392895231525,0.0013135504542807139,-0.0030298668976346003,0.005406868656718285,0.298,2000,True,0.15996341533678748,0.15119730052003452,0.008766114816752962,-0.13526483678651494,0.15625254394330196,0.5555,False,False
50,eb_bivariate,medium,210,181,0.042492574604301475,0.04616421389511609,-0.003671639290814613,-0.006403988472232718,-0.0010558304460538239,0.996,2000,True,0.424605176731818,0.2300312388225109,0.19457393790930713,0.048885669882062645,0.33254718142302614,0.996,True,True
50,eb_bivariate,high,437,295,0.037741468628810414,0.037024064606724104,0.0007174040220863098,-0.0009068522985450792,0.002334377706498513,0.187,2000,True,0.49754938546395544,0.47943154528278575,0.018117840181169687,-0.0445538982515199,0.07983300131664896,0.71,False,False
50,eb_bivariate,all,858,508,0.041477288550430265,0.0416164406903104,-0.0001391521398801318,-0.0016357849135005746,0.0013002833098564952,0.575,2000,True,0.4685069998526586,0.4075423004941946,0.06096469935846399,0.006416400983619292,0.11832405810218466,0.9845,False,True
