stratum,n,sd_pooled,n_cold_start,cold_start_share,sd_cold_start,distinct_cold_values,n_trained,sd_trained
low,384,0.017005441702697043,164,0.4270833333333333,0.013617203639988362,4,220,0.0176472952339723
medium,280,0.021070955865532388,0,0.0,,0,280,0.021070955865532388
high,493,0.026315731751134247,0,0.0,,0,493,0.026315731751134247
