observed_purity,null_mean,null_ci95,p_value,n_permutations,attribute,stratum
0.6822505023442732,0.5064068318821165,"[0.49671634293369055, 0.5167464835900871]",0.000999000999000999,1000,stand,all
0.5860606060606061,0.5236296969696971,"[0.5039318181818182, 0.5454545454545454]",0.000999000999000999,1000,stand,high
0.6815714285714286,0.4999241428571429,"[0.4857107142857143, 0.5132857142857142]",0.000999000999000999,1000,stand,low
0.6215982721382289,0.5113224622030238,"[0.4930831533477321, 0.5287311015118791]",0.000999000999000999,1000,stand,medium
0.5671801741460147,0.3328177494976557,"[0.3230408573342264, 0.34320160750167444]",0.000999000999000999,1000,power_tercile,all
0.5909090909090909,0.39982454545454543,"[0.3790833333333333, 0.42091666666666666]",0.000999000999000999,1000,power_tercile,high
0.5584285714285714,0.367667,"[0.3539964285714286, 0.3821428571428571]",0.000999000999000999,1000,power_tercile,low
0.5807775377969762,0.3474976241900648,"[0.32999460043196543, 0.36566414686825055]",0.000999000999000999,1000,power_tercile,medium
0.5455458807769591,0.3327604822505023,"[0.32363697253851303, 0.34226557267247154]",0.000999000999000999,1000,contact_tercile,all
0.5348484848484848,0.3682615151515152,"[0.3475681818181818, 0.3900075757575757]",0.000999000999000999,1000,contact_tercile,high
0.5437142857142857,0.3470597142857143,"[0.33342499999999997, 0.36128928571428576]",0.000999000999000999,1000,contact_tercile,low
0.5496760259179265,0.33452138228941686,"[0.3176997840172786, 0.35163066954643624]",0.000999000999000999,1000,contact_tercile,medium
