opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_phase_d,rank_favours_phase_d
c3_gbm_full,low,380,239,0.06096018015153229,0.05867962487235527,0.0022805552791770184,7.148846391467905e-06,0.004506947354967494,0.0245,2000,True,0.26432955863941443,0.16650078485938694,0.0978287737800275,-0.04252385131844276,0.23118668190162034,0.9115,False,False
c3_gbm_full,medium,280,238,0.05323044950971352,0.049488485344163766,0.003741964165549755,0.0011949959327849625,0.006594335177841889,0.0015,2000,True,0.3245272469084178,0.2615319790480802,0.0629952678603376,-0.03651627957939805,0.15988206430429922,0.8935,False,False
c3_gbm_full,high,489,318,0.046029390799307006,0.040806922984289215,0.005222467815017791,0.0031925832786441058,0.007212156782881345,0.0,2000,True,0.49659130700316784,0.5238435916195114,-0.027252284616343603,-0.08671120160298623,0.030526581323264693,0.174,False,False
c3_gbm_full,all,1149,604,0.050539044340368496,0.04634174207058626,0.004197302269782238,0.0028683292838352285,0.005705578321216259,0.0,2000,True,0.46127569748164493,0.4417489797933145,0.01952671768833042,-0.024342012529143975,0.06347627695535794,0.8045,False,False
c2_bivariate,low,380,239,0.06096018015153229,0.061758664127155666,-0.0007984839756233764,-0.002926405921683802,0.0012611004804607272,0.761,2000,True,0.26432955863941443,0.13888378356912778,0.12544577507028665,-0.034935152338035604,0.2862847928350256,0.932,False,False
c2_bivariate,medium,280,238,0.05323044950971352,0.050619000883100104,0.0026114486266134163,-0.0005173371192363632,0.006557628999384279,0.0605,2000,True,0.3245272469084178,0.1926377527681173,0.1318894941403005,-0.016100737718401065,0.2749959472752459,0.958,False,False
c2_bivariate,high,489,318,0.046029390799307006,0.04104868446300824,0.004980706336298768,0.002776254962664146,0.007158429918448606,0.0,2000,True,0.49659130700316784,0.5088911233771176,-0.012299816373949779,-0.08239676002114653,0.05681904290965121,0.3585,False,False
c2_bivariate,all,1149,604,0.050539044340368496,0.047434740917984,0.003104303422384498,0.0014774843159811256,0.004746783336620712,0.0,2000,True,0.46127569748164493,0.4102793594008359,0.050996338080809056,-0.008966216788048285,0.10882946911941928,0.96,False,False
