opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low_rmse,ci_high_rmse,favours_a_share_rmse,n_draws,weighted,rank_a,rank_b,rank_difference,ci_low_rank,ci_high_rank,favours_a_share_rank,rmse_favours_phase_d,rank_favours_phase_d
c3_gbm_full,low,380,239,0.05983754044925825,0.05867962487235527,0.0011579155769029792,-0.0009648633792083666,0.003235866249114712,0.1295,2000,True,0.2573105900022199,0.16650078485938694,0.09080980514283296,-0.045614429019148604,0.2236977794028661,0.907,False,False
c3_gbm_full,medium,280,238,0.051096122039936825,0.049488485344163766,0.0016076366957730598,-0.0008139540736898651,0.004251999334896373,0.1085,2000,True,0.3373402898145396,0.2615319790480802,0.07580831076645944,-0.02707708344322736,0.1765668078180028,0.9305,False,False
c3_gbm_full,high,489,318,0.04488798629520061,0.040806922984289215,0.004081063310911397,0.002292149272361772,0.005921454229563935,0.0,2000,True,0.4874258548212389,0.5238435916195114,-0.03641773679827254,-0.09566804855044157,0.020702396778964547,0.1085,False,False
c3_gbm_full,all,1149,604,0.04919749909197431,0.04634174207058626,0.0028557570213880515,0.0016139873355480482,0.004173207794398487,0.0,2000,True,0.4607788437409472,0.4417489797933145,0.019029863947632675,-0.02241505791829831,0.061800285602368374,0.805,False,False
c2_bivariate,low,380,239,0.05983754044925825,0.061758664127155666,-0.0019211236778974156,-0.00427803717962788,0.0003858920785747198,0.9465,2000,True,0.2573105900022199,0.13888378356912778,0.11842680643309211,-0.03745131931415499,0.27156708782724115,0.932,False,False
c2_bivariate,medium,280,238,0.051096122039936825,0.050619000883100104,0.0004771211568367212,-0.002746567155278389,0.0041776249946986425,0.4205,2000,True,0.3373402898145396,0.1926377527681173,0.14470253704642233,-0.007918831837848157,0.28633971497801897,0.9675,False,False
c2_bivariate,high,489,318,0.04488798629520061,0.04104868446300824,0.003839301832192374,0.0017853953024487615,0.005877018240520221,0.0,2000,True,0.4874258548212389,0.5088911233771176,-0.021465268555878714,-0.0917994519040203,0.04609458769100849,0.275,False,False
c2_bivariate,all,1149,604,0.04919749909197431,0.047434740917984,0.0017627581739903114,0.00018661494826489758,0.0033019512815067194,0.0115,2000,True,0.4607788437409472,0.4102793594008359,0.05049948434011131,-0.008216661478061934,0.10819580751221765,0.955,False,False
