seed,low,medium,high,all
0,0.05992084155967671,0.05067003752642927,0.04550817334920091,0.04947541850673871
1,0.05943789398203534,0.049444417446144494,0.04305772729353415,0.047738192267761874
2,0.05982092009766959,0.049046757086061134,0.043468540399026194,0.047969548412716105
3,0.05897785841720643,0.04866963890435602,0.04330934742369649,0.04761204649049041
4,0.05902101117853562,0.049442423694542964,0.04363258839214531,0.0479642714551472
