seed,log_epoch,log_val_loss,ckpt_epoch,ckpt_val_loss,match
0,19,1.02346,19,1.0234632175037586,True
1,22,1.02316,22,1.0231585053906067,True
2,25,1.02315,25,1.0231527720477875,True
3,26,1.02325,26,1.0232527731210426,True
4,26,1.02332,26,1.0233248215481154,True
