pass_id,dim,eps,batter,p_throws,pred_woba
base,-1,0.0,680776,L,0.2811612528472716
base,-1,0.0,691718,L,0.2483289440733522
base,-1,0.0,682626,L,0.33020015351178095
base,-1,0.0,700250,L,0.25988253110396486
base,-1,0.0,571745,L,0.3294627633679206
base,-1,0.0,680474,L,0.2836223897097341
base,-1,0.0,680869,L,0.30402044748432006
base,-1,0.0,667472,L,0.3207562215744669
base,-1,0.0,681146,L,0.3110675316564702
base,-1,0.0,669394,L,0.32877991544297763
base,-1,0.0,608336,L,0.3202312606925012
base,-1,0.0,664761,L,0.3480136118638727
base,-1,0.0,605170,L,0.3241655660837395
base,-1,0.0,605346,L,0.27444298149854507
base,-1,0.0,656555,L,0.35591491983161005
base,-1,0.0,467793,L,0.3440315969458828
base,-1,0.0,665742,L,0.37035952969739694
base,-1,0.0,502671,L,0.3733200073439441
base,-1,0.0,656941,L,0.32757537606066534
base,-1,0.0,676113,L,0.25988253110396486
base,-1,0.0,457705,L,0.34924656675526183
base,-1,0.0,668709,L,0.2802956433042064
base,-1,0.0,545121,L,0.2991544114185948
base,-1,0.0,669289,L,0.3169835351881199
base,-1,0.0,593871,L,0.3346676776304164
base,-1,0.0,665926,L,0.27559368237105736
base,-1,0.0,592626,L,0.3072625619305165
base,-1,0.0,680718,L,0.25988253110396486
base,-1,0.0,624428,L,0.30790058813116994
base,-1,0.0,682177,L,0.25988253110396486
base,-1,0.0,595978,L,0.2694596009648861
base,-1,0.0,592325,L,0.2816178067972568
base,-1,0.0,605131,L,0.30245771218849155
base,-1,0.0,662139,L,0.28824588714212607
base,-1,0.0,686527,L,0.2734476356763525
base,-1,0.0,686894,L,0.3011978586723481
base,-1,0.0,650859,L,0.3094973692207089
base,-1,0.0,660707,L,0.28345651426428137
base,-1,0.0,677347,L,0.28582154225651174
base,-1,0.0,545361,L,0.3963887914971148
base,-1,0.0,682626,R,0.311616629675053
base,-1,0.0,680776,R,0.3253303758267662
base,-1,0.0,691718,R,0.28073962999846125
base,-1,0.0,605131,R,0.2828404461706229
base,-1,0.0,676113,R,0.29237987914530394
base,-1,0.0,605346,R,0.25883552517799446
base,-1,0.0,467793,R,0.35428961399059633
base,-1,0.0,700250,R,0.29237987914530394
base,-1,0.0,502671,R,0.3436109186787637
base,-1,0.0,680474,R,0.26521468812746396
base,-1,0.0,680869,R,0.2872098258495691
base,-1,0.0,668709,R,0.31080395137245315
base,-1,0.0,593871,R,0.3419545187437437
base,-1,0.0,680718,R,0.29237987914530394
base,-1,0.0,669394,R,0.3150190295188787
base,-1,0.0,667472,R,0.30135579231805376
base,-1,0.0,681146,R,0.29050416880884256
base,-1,0.0,656941,R,0.36384495848838716
base,-1,0.0,664761,R,0.32194223738746175
base,-1,0.0,608336,R,0.3546174441688311
base,-1,0.0,592626,R,0.34988504913815416
base,-1,0.0,624428,R,0.3260023153579752
base,-1,0.0,669289,R,0.29815585106129694
base,-1,0.0,665926,R,0.3005807469372376
base,-1,0.0,605170,R,0.33480577049795573
base,-1,0.0,656555,R,0.33012591081958487
base,-1,0.0,665742,R,0.4019162619880577
base,-1,0.0,571745,R,0.3053571624627948
base,-1,0.0,682177,R,0.29237987914530394
base,-1,0.0,457705,R,0.3242833756682757
base,-1,0.0,545121,R,0.29955700156240117
base,-1,0.0,595978,R,0.2582188701300312
base,-1,0.0,592325,R,0.31355154899467563
base,-1,0.0,662139,R,0.3256246964447007
base,-1,0.0,686527,R,0.31297472973303786
base,-1,0.0,650859,R,0.30540418849985995
base,-1,0.0,660707,R,0.2664019164773262
base,-1,0.0,677347,R,0.26504720136687265
base,-1,0.0,686894,R,0.28178562885493574
base,-1,0.0,545361,R,0.37714840326904814
dim0,0,0.07895150780677795,680776,L,0.28058295804795474
dim0,0,0.07895150780677795,691718,L,0.24775612639034744
dim0,0,0.07895150780677795,682626,L,0.32940832908736695
dim0,0,0.07895150780677795,700250,L,0.25988253110396486
dim0,0,0.07895150780677795,571745,L,0.3287600044044676
dim0,0,0.07895150780677795,680474,L,0.2836223897097341
dim0,0,0.07895150780677795,680869,L,0.30323945159181614
dim0,0,0.07895150780677795,667472,L,0.3197378026019807
dim0,0,0.07895150780677795,681146,L,0.3106365851682287
dim0,0,0.07895150780677795,669394,L,0.32826519522288333
dim0,0,0.07895150780677795,608336,L,0.3196950469654426
dim0,0,0.07895150780677795,664761,L,0.3474120635744109
dim0,0,0.07895150780677795,605170,L,0.323823209089361
dim0,0,0.07895150780677795,605346,L,0.2734518969005798
dim0,0,0.07895150780677795,656555,L,0.35524018211245617
dim0,0,0.07895150780677795,467793,L,0.3439437867992111
dim0,0,0.07895150780677795,665742,L,0.36983295947685024
dim0,0,0.07895150780677795,502671,L,0.37332697464071407
dim0,0,0.07895150780677795,656941,L,0.3268958407783485
dim0,0,0.07895150780677795,676113,L,0.25988253110396486
dim0,0,0.07895150780677795,457705,L,0.3490805218579073
dim0,0,0.07895150780677795,668709,L,0.27970947424354
dim0,0,0.07895150780677795,545121,L,0.2983599675333943
dim0,0,0.07895150780677795,669289,L,0.31651897986819955
dim0,0,0.07895150780677795,593871,L,0.33384840716705855
dim0,0,0.07895150780677795,665926,L,0.2747772767963156
dim0,0,0.07895150780677795,592626,L,0.3067818808023203
dim0,0,0.07895150780677795,680718,L,0.25988253110396486
dim0,0,0.07895150780677795,624428,L,0.307524786583076
dim0,0,0.07895150780677795,682177,L,0.25988253110396486
dim0,0,0.07895150780677795,595978,L,0.26879550847368394
dim0,0,0.07895150780677795,592325,L,0.2810795104982454
dim0,0,0.07895150780677795,605131,L,0.3017678056004123
dim0,0,0.07895150780677795,662139,L,0.2878620541077955
dim0,0,0.07895150780677795,686527,L,0.27259798307290506
dim0,0,0.07895150780677795,686894,L,0.3002624955461339
dim0,0,0.07895150780677795,650859,L,0.3088485255265798
dim0,0,0.07895150780677795,660707,L,0.28242965689686494
dim0,0,0.07895150780677795,677347,L,0.2849224647484263
dim0,0,0.07895150780677795,545361,L,0.39572297411118174
dim0,0,0.07895150780677795,682626,R,0.31122082363533965
dim0,0,0.07895150780677795,680776,R,0.3246922063917306
dim0,0,0.07895150780677795,691718,R,0.28000692120654624
dim0,0,0.07895150780677795,605131,R,0.2823727188853578
dim0,0,0.07895150780677795,676113,R,0.29237987914530394
dim0,0,0.07895150780677795,605346,R,0.25810137627125856
dim0,0,0.07895150780677795,467793,R,0.3543572426786913
dim0,0,0.07895150780677795,700250,R,0.29237987914530394
dim0,0,0.07895150780677795,502671,R,0.3438366747709459
dim0,0,0.07895150780677795,680474,R,0.26521468812746396
dim0,0,0.07895150780677795,680869,R,0.286692011703665
dim0,0,0.07895150780677795,668709,R,0.3102954553051265
dim0,0,0.07895150780677795,593871,R,0.34138418631300943
dim0,0,0.07895150780677795,680718,R,0.29237987914530394
dim0,0,0.07895150780677795,669394,R,0.3147837145537935
dim0,0,0.07895150780677795,667472,R,0.3007396440383646
dim0,0,0.07895150780677795,681146,R,0.29022679259300266
dim0,0,0.07895150780677795,656941,R,0.3634051510349495
dim0,0,0.07895150780677795,664761,R,0.3217272337838645
dim0,0,0.07895150780677795,608336,R,0.3544191272402436
dim0,0,0.07895150780677795,592626,R,0.3494096010877526
dim0,0,0.07895150780677795,624428,R,0.3255245166972355
dim0,0,0.07895150780677795,669289,R,0.297901512602779
dim0,0,0.07895150780677795,665926,R,0.30001683394197975
dim0,0,0.07895150780677795,605170,R,0.3344129390972109
dim0,0,0.07895150780677795,656555,R,0.3297146454263021
dim0,0,0.07895150780677795,665742,R,0.40149413750521723
dim0,0,0.07895150780677795,571745,R,0.3047535471730703
dim0,0,0.07895150780677795,682177,R,0.29237987914530394
dim0,0,0.07895150780677795,457705,R,0.32424024149260455
dim0,0,0.07895150780677795,545121,R,0.29890020125789973
dim0,0,0.07895150780677795,595978,R,0.2577208929007684
dim0,0,0.07895150780677795,592325,R,0.3129722579639882
dim0,0,0.07895150780677795,662139,R,0.32540791358022614
dim0,0,0.07895150780677795,686527,R,0.3120643297171795
dim0,0,0.07895150780677795,650859,R,0.3049010509871537
dim0,0,0.07895150780677795,660707,R,0.26579114825521316
dim0,0,0.07895150780677795,677347,R,0.26426087250272967
dim0,0,0.07895150780677795,686894,R,0.28124122741992164
dim0,0,0.07895150780677795,545361,R,0.37674513265212495
dim1,1,0.07895150780677795,680776,L,0.2806290730657065
dim1,1,0.07895150780677795,691718,L,0.247853695670507
dim1,1,0.07895150780677795,682626,L,0.32984894345458726
dim1,1,0.07895150780677795,700250,L,0.25988253110396486
dim1,1,0.07895150780677795,571745,L,0.329018128890543
dim1,1,0.07895150780677795,680474,L,0.2836223897097341
dim1,1,0.07895150780677795,680869,L,0.30340919666131444
dim1,1,0.07895150780677795,667472,L,0.32025090490673624
dim1,1,0.07895150780677795,681146,L,0.3105972819123748
dim1,1,0.07895150780677795,669394,L,0.32861735906225176
dim1,1,0.07895150780677795,608336,L,0.32023830215050486
dim1,1,0.07895150780677795,664761,L,0.3475767011073289
dim1,1,0.07895150780677795,605170,L,0.32377776101027733
dim1,1,0.07895150780677795,605346,L,0.27385634681214455
dim1,1,0.07895150780677795,656555,L,0.3552637442263789
dim1,1,0.07895150780677795,467793,L,0.3441621407863465
dim1,1,0.07895150780677795,665742,L,0.37028411749539714
dim1,1,0.07895150780677795,502671,L,0.3731796021649221
dim1,1,0.07895150780677795,656941,L,0.32734658039910614
dim1,1,0.07895150780677795,676113,L,0.25988253110396486
dim1,1,0.07895150780677795,457705,L,0.34902309317934865
dim1,1,0.07895150780677795,668709,L,0.2796191790447352
dim1,1,0.07895150780677795,545121,L,0.29856724073787916
dim1,1,0.07895150780677795,669289,L,0.31643274580745584
dim1,1,0.07895150780677795,593871,L,0.3340906998777793
dim1,1,0.07895150780677795,665926,L,0.2749054128562155
dim1,1,0.07895150780677795,592626,L,0.3068143570194555
dim1,1,0.07895150780677795,680718,L,0.25988253110396486
dim1,1,0.07895150780677795,624428,L,0.3075222888696538
dim1,1,0.07895150780677795,682177,L,0.25988253110396486
dim1,1,0.07895150780677795,595978,L,0.2687614657778115
dim1,1,0.07895150780677795,592325,L,0.28104040284578014
dim1,1,0.07895150780677795,605131,L,0.3019301931891112
dim1,1,0.07895150780677795,662139,L,0.28792038663456565
dim1,1,0.07895150780677795,686527,L,0.2727219683710916
dim1,1,0.07895150780677795,686894,L,0.30077474008627725
dim1,1,0.07895150780677795,650859,L,0.3090898848379642
dim1,1,0.07895150780677795,660707,L,0.2831622850829285
dim1,1,0.07895150780677795,677347,L,0.28524538945968736
dim1,1,0.07895150780677795,545361,L,0.3965009246083876
dim1,1,0.07895150780677795,682626,R,0.31159693665615046
dim1,1,0.07895150780677795,680776,R,0.32502461848510145
dim1,1,0.07895150780677795,691718,R,0.2803787355252447
dim1,1,0.07895150780677795,605131,R,0.28236341879373705
dim1,1,0.07895150780677795,676113,R,0.29237987914530394
dim1,1,0.07895150780677795,605346,R,0.2584304242380731
dim1,1,0.07895150780677795,467793,R,0.3543927306635296
dim1,1,0.07895150780677795,700250,R,0.29237987914530394
dim1,1,0.07895150780677795,502671,R,0.3435272746206044
dim1,1,0.07895150780677795,680474,R,0.26521468812746396
dim1,1,0.07895150780677795,680869,R,0.2867561115989177
dim1,1,0.07895150780677795,668709,R,0.3102940428119052
dim1,1,0.07895150780677795,593871,R,0.3414978543411104
dim1,1,0.07895150780677795,680718,R,0.29237987914530394
dim1,1,0.07895150780677795,669394,R,0.31500061403053514
dim1,1,0.07895150780677795,667472,R,0.30114514641128665
dim1,1,0.07895150780677795,681146,R,0.2900710442237941
dim1,1,0.07895150780677795,656941,R,0.3638680075689541
dim1,1,0.07895150780677795,664761,R,0.321624306908308
dim1,1,0.07895150780677795,608336,R,0.3549616473985009
dim1,1,0.07895150780677795,592626,R,0.3496162574587508
dim1,1,0.07895150780677795,624428,R,0.3255278856208718
dim1,1,0.07895150780677795,669289,R,0.2977757295691363
dim1,1,0.07895150780677795,665926,R,0.30012857341822524
dim1,1,0.07895150780677795,605170,R,0.3345459294574482
dim1,1,0.07895150780677795,656555,R,0.32972769339682106
dim1,1,0.07895150780677795,665742,R,0.4018939493275723
dim1,1,0.07895150780677795,571745,R,0.3049430837758532
dim1,1,0.07895150780677795,682177,R,0.29237987914530394
dim1,1,0.07895150780677795,457705,R,0.3240931235163249
dim1,1,0.07895150780677795,545121,R,0.29916044367165556
dim1,1,0.07895150780677795,595978,R,0.25776656257520697
dim1,1,0.07895150780677795,592325,R,0.31306678026521445
dim1,1,0.07895150780677795,662139,R,0.325727355116804
dim1,1,0.07895150780677795,686527,R,0.3125156736825093
dim1,1,0.07895150780677795,650859,R,0.3050936410648935
dim1,1,0.07895150780677795,660707,R,0.2663782610765274
dim1,1,0.07895150780677795,677347,R,0.2646072079565572
dim1,1,0.07895150780677795,686894,R,0.28156494775539354
dim1,1,0.07895150780677795,545361,R,0.377370235712442
dim2,2,0.07895150780677795,680776,L,0.2813663387304247
dim2,2,0.07895150780677795,691718,L,0.24833762623770397
dim2,2,0.07895150780677795,682626,L,0.3301415804572715
dim2,2,0.07895150780677795,700250,L,0.25988253110396486
dim2,2,0.07895150780677795,571745,L,0.3293981247590858
dim2,2,0.07895150780677795,680474,L,0.2836223897097341
dim2,2,0.07895150780677795,680869,L,0.3038264193704904
dim2,2,0.07895150780677795,667472,L,0.3207720517841506
dim2,2,0.07895150780677795,681146,L,0.31122449204765334
dim2,2,0.07895150780677795,669394,L,0.3285875862992397
dim2,2,0.07895150780677795,608336,L,0.3200734342169275
dim2,2,0.07895150780677795,664761,L,0.34831320728198695
dim2,2,0.07895150780677795,605170,L,0.32446222104905026
dim2,2,0.07895150780677795,605346,L,0.2744281120432895
dim2,2,0.07895150780677795,656555,L,0.35571986289762475
dim2,2,0.07895150780677795,467793,L,0.3439679751258847
dim2,2,0.07895150780677795,665742,L,0.37009016915993886
dim2,2,0.07895150780677795,502671,L,0.3732200953096749
dim2,2,0.07895150780677795,656941,L,0.32724549625281385
dim2,2,0.07895150780677795,676113,L,0.25988253110396486
dim2,2,0.07895150780677795,457705,L,0.3490903060176746
dim2,2,0.07895150780677795,668709,L,0.280550528600698
dim2,2,0.07895150780677795,545121,L,0.29925109565186087
dim2,2,0.07895150780677795,669289,L,0.31727173206456855
