batter,stand,stratum,dim,gradient
669289,R,medium,15,0.000650566875127623
669394,R,medium,15,-0.0015147393041631742
676113,L,low,15,0.0
677347,R,low,15,0.00019969366126874723
680474,R,low,15,0.0
680718,L,low,15,0.0
680776,L,medium,15,-0.0010771862921851955
680869,R,low,15,0.0024996025698481987
681146,R,low,15,0.0002540545522378045
682177,L,low,15,0.0
682626,R,medium,15,0.0009614502019300674
686527,L,low,15,-0.0043285142363242
686894,R,medium,15,0.0025906343033476184
691718,L,low,15,-0.004295038212227709
700250,L,low,15,0.0
457705,R,high,16,0.00013181204594186287
467793,L,high,16,-0.0011098789548761394
502671,R,high,16,0.0006428531560804169
545121,L,medium,16,-0.0012915471035073447
545361,R,high,16,-0.0018681590623448338
571745,R,high,16,0.0004842189302615562
592325,L,high,16,-0.0003749121928509474
592626,L,high,16,3.3531475398910594e-05
593871,L,high,16,-0.0018118578531251663
595978,R,high,16,-0.0002745989730970528
605131,R,high,16,-0.0005162152277667562
605170,L,medium,16,0.0009842103600526961
605346,R,low,16,-0.0023779691252425977
608336,L,high,16,-0.0016967866396883793
624428,L,high,16,0.0003777042355579578
650859,L,high,16,-0.0026654733978674666
656555,R,high,16,0.0011490418351470407
656941,L,high,16,-0.00011366349416089715
660707,R,medium,16,-0.0017365947155654944
662139,L,medium,16,0.0025090169504359524
664761,R,high,16,-0.0012828508169542966
665742,L,high,16,3.9359341953698505e-05
665926,L,medium,16,-0.000753171686806707
667472,R,low,16,-0.0007056126290030529
668709,L,medium,16,-0.0010899614303520975
669289,R,medium,16,-0.000511510003843503
669394,R,medium,16,-0.0016088864305348304
676113,L,low,16,0.0
677347,R,low,16,-0.0019151730267184888
680474,R,low,16,0.0
680718,L,low,16,0.0
680776,L,medium,16,-0.0014632942651449392
680869,R,low,16,-0.0012778359975949237
681146,R,low,16,-0.00043436081444514876
682177,L,low,16,0.0
682626,R,medium,16,-0.0011965484160125462
686527,L,low,16,-0.0011721173186612912
686894,R,medium,16,-0.0005151718480491251
691718,L,low,16,0.00030709171806099056
700250,L,low,16,0.0
457705,R,high,17,-0.002383061463475294
467793,L,high,17,0.0008882599042527126
502671,R,high,17,-0.002110029477936261
545121,L,medium,17,-0.0004153566760856371
545361,R,high,17,-0.006182710820071257
571745,R,high,17,-0.0023683308824886855
592325,L,high,17,-0.005245555777303574
592626,L,high,17,-0.004742219996931731
593871,L,high,17,0.0006353374365339631
595978,R,high,17,-0.004340661078049372
605131,R,high,17,-0.0018252127459590913
605170,L,medium,17,-0.0012004772634595805
605346,R,low,17,-0.005885768229671301
608336,L,high,17,-0.010765976755312497
624428,L,high,17,-0.002547361242471647
650859,L,high,17,-0.0026230923550959384
656555,R,high,17,-0.006394634754066237
656941,L,high,17,-0.006407903941822578
660707,R,medium,17,-0.006409828590468823
662139,L,medium,17,-0.007925378949246465
664761,R,high,17,-0.0036854869876877354
665742,L,high,17,-0.0030320569517678763
665926,L,medium,17,-0.006138716504633253
667472,R,low,17,-0.0052212672261559455
668709,L,medium,17,-0.005552258008515158
669289,R,medium,17,-0.0020959712053711006
669394,R,medium,17,-0.004134704516164072
676113,L,low,17,0.0
677347,R,low,17,-0.004204133063148305
680474,R,low,17,0.0
680718,L,low,17,0.0
680776,L,medium,17,-0.00569233767318515
680869,R,low,17,-0.004244149260869678
681146,R,low,17,-0.0023067042562193198
682177,L,low,17,0.0
682626,R,medium,17,-0.0060935578684827504
686527,L,low,17,-0.006740275425071475
686894,R,medium,17,-0.0070090885335354425
691718,L,low,17,-0.006376275520023473
700250,L,low,17,0.0
457705,R,high,18,-0.000651531317007444
467793,L,high,18,0.0011465692981155622
502671,R,high,18,0.00021809445476505567
545121,L,medium,18,0.003604514904385426
545361,R,high,18,-0.0005872374072553837
571745,R,high,18,-0.0012694038400537374
592325,L,high,18,-1.822138218340481e-05
592626,L,high,18,-0.0009966059273321703
593871,L,high,18,0.0013159279923355774
595978,R,high,18,-0.0011343470607685598
605131,R,high,18,0.0001272331358137486
605170,L,medium,18,-1.632702040955786e-05
605346,R,low,18,-0.0002553532740144796
608336,L,high,18,-0.0008354625071856008
