head,stat,r_partial,ci_low,ci_high,n
swing,swing_rate,0.6690493367168582,0.6126447527405849,0.728572563680923,1564
swing,whiff_rate,0.12219286531035561,0.08492643310847882,0.16230828963173485,1563
swing,contact_rate,-0.12219286531035563,-0.16230828963173488,-0.08492643310847882,1563
swing,chase_rate,0.5873614330195739,0.5373264678549565,0.642171225369693,1559
swing,zone_swing_rate,0.5487739725985342,0.49549199288778095,0.6025126759352314,1564
swing,ev_mean,0.01177280774434635,-0.023854982565110074,0.045201416120294095,1544
swing,ev_p90,0.07656973047044456,0.037531169644914555,0.11620759865161658,1544
swing,la_mean,-0.014641526106616268,-0.04907023834489173,0.01804517324443647,1544
swing,bat_speed_mean,0.21085592201575154,0.12881687407424952,0.28228046468462625,570
swing,pull_rate,0.0067979113016257905,-0.023913699987100665,0.038355745181206956,1545
swing,woba_level,-0.033579473283689314,-0.06039002513364886,-0.007515285592820604,1563
swing,obs_platoon_diff,-0.015044635575467192,-0.047629517313970596,0.022808459867630523,1496
contact,swing_rate,0.09127240867144057,0.051351325040231356,0.1299365308106961,1564
contact,whiff_rate,-0.5595618017340258,-0.6135681011596108,-0.5050980755408839,1563
contact,contact_rate,0.5595618017340257,0.5050980755408839,0.6135681011596107,1563
contact,chase_rate,0.2058764624039212,0.17360557550622696,0.24293397723613133,1559
contact,zone_swing_rate,-0.09560498532266352,-0.13425246740372204,-0.05480659529410857,1564
contact,ev_mean,-0.22231432775095247,-0.2582204334522142,-0.18618205940114144,1544
contact,ev_p90,-0.36390664873902295,-0.40811871397189164,-0.32307077928739414,1544
contact,la_mean,-0.11844608724993397,-0.1594112933119182,-0.08068179421455808,1544
contact,bat_speed_mean,-0.3998547535664137,-0.4649964419746896,-0.3264669446234549,570
contact,pull_rate,-0.1165487006445139,-0.15189809537753537,-0.08360026314244379,1545
contact,woba_level,-0.029844625793744403,-0.06182105490804365,-0.0010509533451791007,1563
contact,obs_platoon_diff,-0.0339492804013637,-0.06990585200220352,0.0001670960513975735,1496
split_inplay,swing_rate,0.04414844444352955,0.004264765378285321,0.08283771736484072,1564
split_inplay,whiff_rate,-0.4673039875314105,-0.5174938751692445,-0.41657268884914805,1563
split_inplay,contact_rate,0.4673039875314105,0.41657268884914805,0.5174938751692446,1563
split_inplay,chase_rate,0.18522522023341276,0.15004936414613587,0.22049908604698057,1559
split_inplay,zone_swing_rate,-0.13567558314595352,-0.17568242962103608,-0.09547321944619776,1564
split_inplay,ev_mean,-0.1334019738633749,-0.1689579300038097,-0.09575502471595278,1544
split_inplay,ev_p90,-0.2615360053743137,-0.3041153177278887,-0.2230989440442107,1544
split_inplay,la_mean,-0.17931638668725278,-0.22051718543355803,-0.14349835755187798,1544
split_inplay,bat_speed_mean,-0.2742506551503272,-0.34764911029187273,-0.19588156160417616,570
split_inplay,pull_rate,-0.07495769674469546,-0.10934121974684725,-0.04343991424285877,1545
split_inplay,woba_level,-0.03296518555302555,-0.06474220390146491,-0.005997751292718129,1563
split_inplay,obs_platoon_diff,-0.026502281988789993,-0.05930781988007875,0.0059266043446875565,1496
ev,swing_rate,0.23070318031259257,0.1942546642956892,0.2722957420289563,1564
ev,whiff_rate,0.21707172294075158,0.18235460211291046,0.2560850663131762,1563
ev,contact_rate,-0.21707172294075158,-0.2560850663131761,-0.18235460211291044,1563
ev,chase_rate,0.25858833886793275,0.22427643253367321,0.29728606384252126,1559
ev,zone_swing_rate,0.17108805401952906,0.12883471322115977,0.2150770613849383,1564
ev,ev_mean,0.4789603340631519,0.4273849858051884,0.5370890941984335,1544
ev,ev_p90,0.4333927712767267,0.376042462551102,0.5065233893422136,1544
ev,la_mean,-0.050863619818048766,-0.0881778451151386,-0.01280975071754938,1544
ev,bat_speed_mean,0.6092314323347823,0.5576531154302091,0.6567275126759876,570
ev,pull_rate,-0.01634380215276135,-0.05393488406175038,0.022062532330870337,1545
ev,woba_level,0.10169121598005716,0.07261656814424321,0.13060141705705516,1563
ev,obs_platoon_diff,0.050170330409192984,0.012887402583767242,0.08865446605964634,1496
la,swing_rate,0.10272993609966304,0.06950696631277352,0.14312678304146456,1564
la,whiff_rate,0.07701386552940045,0.043967243697693156,0.11118719035129786,1563
la,contact_rate,-0.07701386552940051,-0.11118719035129787,-0.04396724369769317,1563
la,chase_rate,0.09059863049288464,0.055720940197929975,0.12825348936048753,1559
la,zone_swing_rate,0.09183971226256302,0.060202643326304865,0.12885879566217096,1564
la,ev_mean,-0.017514078228135714,-0.050400996070877176,0.01657054673530208,1544
la,ev_p90,-0.0444452804877961,-0.08215025976866713,-0.009789668300806131,1544
la,la_mean,0.48558057388662673,0.4446518458348485,0.5379119308237971,1544
la,bat_speed_mean,0.015017023541512188,-0.07197362337706552,0.09793778874509057,570
la,pull_rate,0.17142102531347062,0.14277814695390115,0.20297832355337986,1545
la,woba_level,0.029306957998614387,0.003326343676373022,0.05388805506953866,1563
la,obs_platoon_diff,-0.011670527791449992,-0.04327754899457346,0.02069234433776339,1496
spray,swing_rate,-0.04902387139509561,-0.08588653734432859,-0.013064859441724728,1564
spray,whiff_rate,0.131885203439374,0.0969762559708083,0.1663175919715199,1563
spray,contact_rate,-0.131885203439374,-0.16631759197151993,-0.0969762559708083,1563
spray,chase_rate,-0.037970977327597875,-0.07300991581021156,-0.0005261122271900142,1559
spray,zone_swing_rate,-0.010972667320293715,-0.04498712549027017,0.023775449295079257,1564
spray,ev_mean,0.053871513639528155,0.021309778164323768,0.09092104264094611,1544
spray,ev_p90,0.06919313171162825,0.029928748108055635,0.10778909503467934,1544
spray,la_mean,0.2749935045470374,0.23788793527333701,0.31682622528108634,1544
spray,bat_speed_mean,0.11433718931170543,0.034294723407048304,0.20105453776377238,570
spray,pull_rate,0.3393819538630334,0.30967510274031546,0.3758905811211677,1545
spray,woba_level,0.010760039451311008,-0.012455789342278027,0.03307227897846125,1563
spray,obs_platoon_diff,-0.005811980134474154,-0.03280598727028883,0.024945450077814336,1496
