batter_type,vs_hand,n_hitters,mu,tau,tau2,sigma2_within_pa,n_star_rate,rho,rho_ci_low,rho_ci_high,rho_at_bound,rho_bootstrap_share_at_bound,n_rho_hitters,rho_unclipped,tau2_split_derived,n_star_split_implied,book_split_constant,book_implied_rho
L,L,321,0.2944197186544343,0.031671122643655465,0.001003060009509466,0.23480702831591108,234.09070852175688,0.6522096127023044,0.38364373227914744,0.9018270776891698,False,0.005,177,0.6522096127023044,0.0007322758887773689,320.6537753249699,1000.0,0.887
L,R,321,0.3241021418513303,0.033141999234461185,0.0010983921132570258,0.26889827928630816,244.81082487833328,0.6522096127023044,0.38364373227914744,0.9018270776891698,False,0.005,177,0.6522096127023044,0.0007322758887773689,320.6537753249699,1000.0,0.887
R,L,536,0.3289395102023171,0.028730288203034967,0.0008254294602294503,0.2768593527887524,335.41249268204206,0.7186911558233854,0.4787401720879577,0.9866296927780609,False,0.0225,354,0.7186911558233854,0.0004917731167240981,562.981877970528,2200.0,0.949
R,R,536,0.3096998798449249,0.030275871790627944,0.0009166284126825409,0.26026487787697183,283.9371704781644,0.7186911558233854,0.4787401720879577,0.9866296927780609,False,0.0225,354,0.7186911558233854,0.0004917731167240981,562.981877970528,2200.0,0.949
S,L,98,0.3168565242494226,0.03414586535681678,0.0011659401209658607,0.25592408147635404,219.50019291243484,0.7126876111242142,0.09261283132588198,0.999,False,0.2,71,0.7126876111242142,0.000588220547130464,435.081845958692,,0.949
S,R,98,0.3047491788384932,0.02814177265193748,0.0007919593679933363,0.25426329066216935,321.0559795591796,0.7126876111242142,0.09261283132588198,0.999,False,0.2,71,0.7126876111242142,0.000588220547130464,435.081845958692,,0.949
