stratum,n_seeds,mean_difference,min_difference,max_difference,n_null_fits_beating_real
all,5,0.00464550136777082,0.00456114363619585,0.004722466680990904,0
high,5,0.0068372241288530465,0.006638226252359103,0.006976799298674417,0
low,5,0.002384077062956902,0.0021368442777038865,0.002550567018569899,0
medium,5,0.0016250863389752485,0.0015801466601125594,0.001684787897482748,0
