stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.061758664127155666,0.0659836639405918,-0.004224999813436131,-0.006488333646154908,-0.002015147285250301,1.0
medium,280,238,0.050619000883100104,0.05851910485262597,-0.007900103969525868,-0.011095344405212629,-0.004807166997383024,1.0
high,489,318,0.04104868446300824,0.04314852422556171,-0.002099839762553471,-0.0029390788647236923,-0.0012530502492495545,1.0
all,1149,604,0.047434740917984,0.05130775015653583,-0.0038730092385518347,-0.0048085471726005725,-0.0029463961974572983,1.0
