stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.05810678126263179,0.05884308474248659,-0.0007363034798548024,-0.002411745571926381,0.001039732697746038,0.7975
medium,280,238,0.04811454494408422,0.04979783918827274,-0.0016832942441885185,-0.0033229618766108795,2.906514821496258e-05,0.973
high,489,318,0.03982370564802941,0.04008818432291117,-0.00026447867488176013,-0.0010157832038430762,0.0005062145728752398,0.7525
all,1149,604,0.045379954444828924,0.04606048488668879,-0.0006805304418598668,-0.0013643341441797385,3.3610753103879746e-05,0.97
