stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.05867962487235527,0.061758664127155666,-0.0030790392548003948,-0.0051984151730934255,-0.0010215913893979803,0.996
medium,280,238,0.049488485344163766,0.050619000883100104,-0.0011305155389363386,-0.002752066381012488,0.0006268316612016185,0.903
high,489,318,0.040806922984289215,0.04104868446300824,-0.00024176147871902282,-0.0010156964911730185,0.0005399939067744274,0.727
all,1149,604,0.04634174207058626,0.047434740917984,-0.00109299884739774,-0.001855910731601321,-0.00034851401129514035,0.9975
