stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
low,380,239,0.05867962487235527,0.05942877710658962,-0.0007491522342343501,-0.002071339289147958,0.0005988679439281713,0.857
medium,280,238,0.049488485344163766,0.050209361282221344,-0.0007208759380575788,-0.0017453283598590655,0.0004135002235288951,0.8945
high,489,318,0.040806922984289215,0.04096350739961049,-0.0001565844153212717,-0.000942829331953696,0.0006349986907486109,0.6455
all,1149,604,0.04634174207058626,0.04675610676022231,-0.00041436468963605005,-0.0009997964431028188,0.00017394266888842987,0.9145
