,Hard throwers (top 20% velo),Soft tossers (bottom 20% velo),Fastballs up (top 20% share of FBs in top third of zone),Fastballs rarely up (bottom 20% share of FBs in top third of zone),Breaking balls buried (top 20% share of breaking balls below zone),Breaking balls rarely buried (bottom 20% share of breaking balls below zone),Breaking-ball heavy (top 20%),Fastball heavy (bottom 20% brk),"North-south (top 40% on both: FBs in top third, breaking balls below zone)","Power elevators (top 40% on both: velo, FBs in top third of zone)","Soft breakers (velo bottom 40%, brk top 40%)",name,stand,prior_pa_R
621566,-4.1662454278620515,2.932267863752615,-2.859450249942289,3.9532352987549193,0.35347038440991074,0.3454095209570548,-0.9743983571226363,-1.4192255517965122,-1.7720217834086602,-4.813276585097186,1.4514982283691158,Matt Olson,L,2602.0
657193,-1.4456512339031793,2.8512855572852294,3.462453446414956,-1.0303794964857507,-1.6224903253358445,-0.4245207690555853,-2.267273824886167,1.3904329030072928,0.2865590403886592,-0.010823769065245868,0.5339305065478537,Eddy Alvarez,L,107.0
596019,0.19273853432142332,-0.18888882731815362,3.6149592394576064,-2.5642521658444295,-2.916473589809827,0.44621508765918483,-2.2274017553385503,1.1395658071269485,1.440348324125993,2.974146908784039,-2.7144814717984715,Francisco Lindor,L,3693.0
645277,-0.5374954979074633,2.9627087955227567,3.064811134298451,0.4299513232877641,-1.3981462070128683,-0.47728641803169436,-1.9339019996687021,1.6098392008951437,-1.2122704139104399,0.4136840479481427,-0.17594167409815875,Ozzie Albies,L,2518.0
671739,-4.310039150668879,4.369589225483426,-1.6332501039195488,0.6288606154618215,-7.517790369081195,5.165460588952277,1.749101532446188,1.7720285953258277,-6.051441589725094,-0.8795374260912516,1.119760910429438,Michael Harris,L,704.0
672284,-0.5443408359991175,-0.46518471505004205,-1.9588152371841134,-0.257235262717289,-0.5206068303782445,0.7059415876474567,0.04204709625809391,0.5038671448121548,-0.22122271798006551,-0.6240182548333285,-0.7986122698810567,Jarred Kelenic,L,676.0
607043,-0.3349538849336101,-0.4720366130777458,0.653051459433211,0.9565808380895432,1.1009448593734954,-0.2820072209090924,-1.7910707324355595,1.1763932697197255,1.1573229622914687,-0.6945120577573094,-0.9020261207621885,Brandon Nimmo,L,2133.0
444482,0.5841202328681456,-1.6238907945728656,1.578925834022369,-3.242833300558795,-3.761067021001937,1.96620818732815,1.6177945446676525,0.10943913176246578,1.025697922103069,3.959532536021386,-1.2368709417430463,David Peralta,L,3116.0
630105,5.737456738738546,-6.248919326464773,2.3263515229707963,-2.3504379755162543,0.4878587738104679,-2.205117186625178,1.1557340243662584,-1.5691583892385477,2.396342444855006,6.206570984702539,-2.8703745999229864,Jake Cronenworth,L,1393.0
682998,-1.9131895398848515,2.3276851074469778,1.6815844047481134,0.010227418302380843,-2.3875149578110837,-0.04845360651900524,0.22114705672391324,-1.1699284238560306,-2.68746408649681,-1.3576850119406356,2.099942750645907,Corbin Carroll,L,555.0
642180,0.9281713966495064,0.13112337350204323,2.9759842253114748,-1.938406596060083,1.376720637260607,-0.6634125497155323,-0.47116828608356837,0.3850009915973199,2.0576302027951194,0.8971591919107028,0.24268774607075325,Tyler Wade,L,558.0
606466,5.594626360678342,-6.983883525424857,3.1789429130574063,-4.818945585187597,0.9008766351026957,-1.268974516284301,-0.019895721414663777,-1.2503315337377583,4.813600987131932,8.149734958853129,-3.911906260619491,Ketel Marte,L,2702.0
672695,-0.511003356493091,2.488302920159048,0.14173164129139318,1.1528139860241324,6.0286224098096035,-3.2493448115007335,0.5333477212909482,-0.4495676293658255,2.7392171612357017,-2.3829494972456757,2.7018555493146703,Geraldo Perdomo,L,781.0
664983,2.4257808738064965,-2.9147784863876645,0.3725245975071715,-2.852810823483904,2.257706687110061,-0.4773136524288188,2.980261734849483,-1.3343635175524595,3.312435869456652,3.531003719253259,-0.7684327465930462,Jake Mccarthy,L,520.0
701538,-1.0968643666913576,1.704765883666496,-1.2996205679548105,1.8159102572887655,-0.6085717823009397,0.6385921222529647,-0.5966565031861013,0.6609364790068509,-1.7784100184883762,-2.2506667877301867,0.9700888862527607,Jackson Merrill,?,0.0
650333,8.973952975207766,-7.451900518860371,5.668153409813894,-5.341530963521429,4.740547501587226,-5.564235391642327,2.0457547355520034,-2.2027544426777492,8.90017264097618,11.119416971255474,-4.111033481514778,Luis Arráez,L,1663.0
664728,-0.6914353747096895,-0.09680917273104808,-2.3048128414530162,-0.015011162176980574,-0.9499116462783864,1.217973144687585,-1.2186826023362218,1.3590244205478132,-1.5992758681901866,0.04891895942982847,-0.7152892657706963,Kyle Isbel,L,546.0
669004,-5.000749425903765,5.537196089520836,-3.1769754209879455,5.213297733282,-0.2758058591595542,1.1437447181955713,-2.384596252511321,0.9405765518551111,-3.1232013832023378,-6.891432943815307,2.3805631731962995,Mj Melendez,L,863.0
