pitcher,p_throws,n_pitches,n_fb,fb_velo,fb_height,brk_share,bf,fb_velo_tercile,fb_height_tercile,brk_share_tercile
446321,L,4889,2942,91.91295037389531,2.4343242092066775,0.14072407445285334,1269,1,0,0
446372,R,17786,7520,92.11988031914893,2.6518784713312185,0.3212639154391094,4815,0,2,1
446399,L,2884,1242,91.73397745571658,2.8050525476051704,0.36789181692094314,800,1,2,2
446899,R,3711,2359,84.20809665112336,1.7558087873741706,0.16895715440582054,1062,0,0,0
447714,L,1302,901,90.80288568257491,2.1575921042227484,0.2880184331797235,373,0,0,1
447755,R,713,454,93.87643171806168,2.6064383370469897,0.0967741935483871,168,1,1,0
448159,L,492,296,93.13682432432432,2.3843095451334175,0.3394308943089431,128,2,0,2
448178,R,2337,1534,94.35567144719687,2.6548784546574127,0.2610183996576808,586,1,2,1
448179,L,15076,7172,89.02748187395426,2.873566759150649,0.45031838684001063,3822,0,2,2
448281,L,4349,3763,93.83021525378686,2.9623913553364525,0.07472982294780409,1105,2,2,0
448306,R,11691,4682,90.59451089278086,2.2967611093453377,0.18484304165597468,3020,0,0,0
448609,L,3269,1624,91.24008620689655,2.4135621677665764,0.3303762618537779,818,0,0,2
448614,R,3716,1768,92.76323529411765,2.4227411615614303,0.14370290635091496,964,1,0,0
448802,L,8149,4868,90.59897288414133,2.2810118508260198,0.2099644128113879,2218,0,0,1
448855,R,8382,5250,93.3476380952381,2.3576898145702967,0.17871629682653303,2125,1,0,0
449097,R,1455,945,91.85947089947089,2.74619138569174,0.17938144329896907,410,0,2,0
449104,R,644,527,94.00037950664137,2.7438311933566344,0.18167701863354038,153,1,2,0
449170,R,216,143,98.53706293706293,2.382485036825242,0.3194444444444444,55,2,0,1
449173,R,959,563,92.1721136767318,2.3941670928892584,0.3368091762252346,236,0,0,1
450172,R,8355,4407,93.89410029498525,2.365223729975711,0.22788749251944942,2176,1,0,0
450203,R,19758,10066,94.59227101132525,2.468999076933208,0.3440125518777204,5036,2,0,2
450212,R,3110,1382,89.99616497829233,2.539199323127591,0.5019292604501607,817,0,1,2
450275,R,1657,897,94.35919732441471,2.5520139932279235,0.452021726010863,438,1,1,2
450282,L,1001,687,93.76622998544396,2.7435633657087037,0.30569430569430567,284,2,2,1
450306,L,7808,3915,85.63892720306514,2.435542801244388,0.1726434426229508,2001,0,0,0
450308,R,5875,2628,83.61971080669711,2.7018157323938463,0.35931914893617023,1612,0,2,2
450351,L,2102,1123,90.80552092609084,2.5247259790774437,0.22454804947668885,551,0,1,1
450665,R,1496,872,91.32798165137615,2.5280099766088813,0.23663101604278075,385,0,1,1
450729,R,7243,4689,87.88844103220303,2.480103370384805,0.13143724975838741,1884,0,0,0
451085,L,1032,561,91.02210338680928,2.488255645363964,0.30523255813953487,257,0,1,1
451532,R,568,340,91.2579411764706,2.5564009438691935,0.11971830985915492,162,0,1,0
451584,R,5628,2775,94.37196396396396,2.4897600814108283,0.19900497512437812,1349,1,1,0
451596,R,9251,4630,91.39414686825054,2.4889997105839914,0.40968543941195545,2311,0,1,2
451661,R,2894,2045,95.15779951100245,3.0078211908545143,0.2453351762266759,739,2,2,1
451775,R,1633,1083,94.00572483841182,2.8771598324961962,0.12308634415186773,405,1,2,0
451788,R,559,203,85.9448275862069,2.318744009863992,0.1073345259391771,142,0,0,0
452027,L,1448,929,87.97556512378902,2.520761213294093,0.2755524861878453,360,0,1,1
452657,L,18834,9569,91.08636221130735,2.2775842896059766,0.13672082404162683,4631,0,0,0
452666,R,2313,1244,95.49091639871382,2.1532764805855074,0.3925637699956766,587,2,0,2
452718,R,2354,1047,89.685482330468,2.487836514894571,0.08623619371282923,656,0,1,0
452733,L,739,431,91.33526682134571,2.392501560823138,0.3017591339648173,199,0,0,1
453156,R,566,304,93.99407894736842,2.384493312668187,0.13074204946996468,146,1,0,0
453172,R,5382,4277,92.57827916764087,1.8894666083294007,0.1527313266443701,1469,1,0,0
453178,R,14319,9298,92.64627876962787,2.6674555706912138,0.20078217752636357,3537,1,2,0
453192,L,5377,2199,93.38176443838108,2.4961984784923117,0.5902919843779059,1371,2,1,2
453214,R,4988,594,83.8483164983165,2.779327530102809,0.1343223736968725,1334,0,2,0
453222,R,634,385,90.38000000000001,2.021532053911462,0.15930599369085174,172,0,0,0
453249,R,1291,681,91.95638766519824,2.208588816143727,0.4632068164213788,333,0,0,2
453265,L,6001,3514,93.36494023904383,2.5259159274856473,0.1356440593234461,1645,2,1,0
453268,R,3498,1815,96.84969696969698,2.722387566215023,0.44139508290451684,887,2,2,2
453281,L,7532,2497,86.70708850620746,2.4920953540619752,0.10276155071694106,2035,0,1,0
453284,R,4563,2407,92.08799335272123,2.552494685167701,0.12075388998465922,1117,0,1,0
453286,R,24755,12456,94.4699421965318,2.6851537103692094,0.2860028277115734,6136,2,2,1
453311,R,2111,937,88.05272145144076,2.6766341883613767,0.22122216958787305,516,0,2,0
453329,R,6432,2618,91.6488922841864,2.463898172799346,0.1730410447761194,1726,0,0,0
453343,R,6547,582,92.04725085910653,2.335017572846347,0.29922101725981365,1754,0,0,1
453344,R,1781,1062,96.48173258003767,2.71914466205434,0.21448624368332397,478,2,2,0
453385,L,7720,5362,90.56870570682581,2.2151795293353276,0.2173575129533679,2155,0,0,1
453562,R,16585,9507,93.29515094141159,2.3973082295352706,0.3363883026831474,4224,1,0,1
453646,R,2104,892,88.80997757847534,2.531398652063492,0.43298479087452474,559,0,1,2
455009,R,2255,1465,94.42040955631398,2.452280527474752,0.3419068736141907,590,1,0,2
455119,R,4464,2414,95.18599834299917,2.5896494492856603,0.1292562724014337,1161,2,1,0
455374,L,2483,1717,92.52859638905068,2.5323020216580865,0.22915827627869512,583,1,1,1
456027,R,1512,929,94.1254036598493,2.643559988201068,0.24404761904761904,369,1,1,1
456034,L,14486,7650,93.39917647058823,2.6151787711227312,0.057434764600303743,3811,2,1,0
