pitcher,p_throws,fb_ivb,fb_run,fb_spin,si_share,rel_height,extension,rel_side,off_share,velo_gap,mix_depth,brk_sweep,zone_rate,glove_side,fb_up,brk_down,brk_height,off_down
112526,R,10.683331330368945,13.61908424468213,2149.7547813375563,0.7226294916476385,5.674720328789094,5.239267599918847,1.2893303929430635,0.07848837209302326,6.446076308949344,2.331237511718195,3.1249548387096775,0.5156375300721732,-0.4326915666899484,0.3188318711693306,0.3393548387096774,1.924453982601532,0.38569604086845466
115629,R,12.897253012048193,12.231036144578313,2051.261845386534,0.021686746987951807,6.379729241877256,6.030185185185186,1.584620938628159,0.07942238267148015,7.421568865389631,1.7558927182022062,2.8813043478260867,0.5469314079422383,-0.997432386488174,0.35903614457831323,0.25,2.378731192841731,0.13636363636363635
136600,L,13.809056603773584,17.513207547169813,2198.735849056604,0.9811320754716981,5.716942148760331,5.147899159663866,2.68900826446281,0.12396694214876033,6.449805771365149,3.299752084741943,3.2025,0.49586776859504134,-2.0162618663711713,0.32075471698113206,0.20833333333333334,2.001660272631385,
150116,L,14.471760797342192,11.366910299003322,2032.142857142857,0.6777408637873754,6.048138041733547,5.714705882352941,2.2840288924558587,0.11075441412520064,10.642243247147178,4.394825341108532,5.886265060240964,0.4510433386837881,0.7310337027754645,0.33222591362126247,0.18072289156626506,2.2834362524556955,0.2463768115942029
150274,R,15.142702702702701,7.324864864864864,2238.56338028169,0.20270270270270271,6.4715625,5.6811475409836065,2.083203125,0.0234375,7.149399399399385,3.1950078003120126,4.665882352941177,0.3984375,2.6807719641276937,0.4594594594594595,0.29411764705882354,1.9591330871199517,
150302,R,5.955565410199557,16.497472283813746,1784.4145199063232,1.0,5.819468911917099,6.074145006839945,2.504663212435233,0.211139896373057,7.747740224216173,2.3600148890842423,1.6416000000000002,0.42875647668393785,-1.9657495048078626,0.16186252771618626,0.36666666666666664,1.849970652380803,0.37423312883435583
150359,R,8.535755968169761,11.18029177718833,2010.1127049180327,0.8063660477453581,5.9122326148841,6.3903439701616245,1.8461610410736071,0.08743391622610817,8.378612977544208,2.82529706433018,8.73065934065934,0.4782431882879219,4.35741205268714,0.3521220159151194,0.5576923076923077,1.4595226169425635,0.33488372093023255
217096,L,18.746511627906976,6.785581395348838,2069.3372093023254,0.47674418604651164,6.4210067114093965,6.490604026845638,1.1726845637583891,0.2214765100671141,12.004485049833889,3.8983318700614573,5.435999999999999,0.3825503355704698,-1.4047506898405333,0.43023255813953487,0.26666666666666666,2.384903610968858,0.30303030303030304
218596,R,5.0715979899497485,12.479276381909546,2039.146475770925,0.8703517587939699,5.205729907053035,5.462314540059348,1.426271186440678,0.11208310552214325,8.106548570189076,3.2596967774688843,14.613209302325583,0.4931656642974303,0.511289398207681,0.24522613065326634,0.4,1.837974333257881,0.40487804878048783
234194,R,13.77375,9.80625,2255.8333333333335,0.3020833333333333,5.5343103448275865,5.968103448275862,1.1156896551724136,0.034482758620689655,4.524166666666673,2.4019992859692967,,0.646551724137931,0.31212823029030773,0.4583333333333333,,,
276351,R,15.79700575815739,12.904030710172744,2367.0051948051946,0.03838771593090211,6.280702327480604,6.038720398836727,3.0070355247039604,0.019191506737443853,11.679968053563726,2.02707737711589,12.035582232893157,0.48346263781135157,0.018020229853757622,0.5918106206014075,0.3697478991596639,1.8595257237199885,0.3829787234042553
276514,R,16.153846153846153,11.733230769230769,2235.8984375,0.0,6.368009478672986,6.283253588516747,2.5243127962085308,0.15165876777251186,7.4779487179487205,2.3278954248366013,7.864999999999999,0.41232227488151657,-2.1456053927190046,0.2153846153846154,0.5416666666666666,1.5164770930353495,0.53125
276520,R,10.519069767441861,14.151007751937984,2006.2790697674418,0.30749354005167956,5.834304577464789,5.406426056338028,2.2963908450704222,0.09595070422535211,9.905676474748418,4.930035681267716,10.774873646209386,0.5026408450704225,-0.8881075783313477,0.1731266149870801,0.13357400722021662,2.3625793848193406,0.23853211009174313
276542,R,15.673917309039943,10.837757533286615,2256.639402560455,0.2396636299929923,6.17851701183432,6.015817091454273,3.009171597633136,0.2973372781065089,9.198197312266672,3.3855622634450278,1.9343283582089552,0.4308431952662722,-1.7050668843897463,0.5381920112123336,0.3859275053304904,1.8109742154705644,0.5161691542288557
279571,R,15.032478854912167,7.747534157449578,2039.702141900937,0.18022121014964215,6.179705240174673,6.872794938593227,2.6361026200873363,0.010917030567685589,7.600795193914806,2.967539617605519,5.373287671232877,0.4949053857350801,1.1802910666011168,0.33571893298633704,0.3202054794520548,1.970178895046456,0.5333333333333333
279824,L,10.502250530785563,7.071082802547771,2026.597232337946,0.48124557678697805,6.057558970693352,6.190602055800294,1.4009935668334526,0.21086490350250178,6.0853915038540976,4.601265041617542,8.2485,0.4864188706218728,0.25334298229423535,0.3043170559094126,0.43333333333333335,1.7111046434051993,0.2711864406779661
282332,L,10.503031040779064,10.617942787583688,2074.187915282392,0.6447555285047677,6.065503472222223,6.741831313299021,2.1894510582010582,0.11259920634920635,6.084062001900406,4.558396571348601,11.74255941499086,0.4721395502645503,-0.8873493234615676,0.3168999797119091,0.3266301035953687,1.9101605374176283,0.2856093979441997
285064,R,13.726910778751934,9.549190304280557,2044.1974110032363,0.25064466219700876,5.795729081493595,6.3931643406436915,1.4545734532570183,0.10248023984736986,8.546219045035429,3.9728335147855787,2.3988366890380313,0.44180975742709183,0.826764040974531,0.27591542031975247,0.284862043251305,2.063955279022257,0.3882978723404255
285079,R,10.357595258255715,14.415749364944961,1862.2588454376164,0.0,5.9534093228989455,5.447812678469446,0.504976749461268,0.0,6.4522125463899584,1.372138036864229,,0.5287512759441987,0.7886530691323708,0.26756985605419137,,,
329092,L,-6.203755102040817,12.197877551020408,1795.3026315789473,0.9877551020408163,4.062205513784461,5.3819407008086255,2.18734335839599,0.0,9.695102040816323,1.9346571230662668,12.147272727272728,0.43609022556390975,2.7132576615410526,0.09387755102040816,0.36363636363636365,1.8208750073872346,
346793,L,9.66,17.259354838709676,2003.3667621776503,1.0,6.138767857142857,5.4775238095238095,2.464196428571429,0.08571428571428572,12.746894303363078,1.9826016589115922,11.950909090909091,0.4982142857142857,-0.9775144479196405,0.1693548387096774,0.4166666666666667,1.8192220092380207,0.4166666666666667
346797,R,21.029333333333334,2.1493333333333333,2296.2954545454545,0.3111111111111111,6.366966292134831,6.447126436781609,0.23460674157303368,0.02247191011235955,4.649797979797981,3.114825009830908,3.906,0.38202247191011235,1.037705432887395,0.5333333333333333,0.525,1.5483160633078277,
346798,R,15.112850241545894,11.095748792270532,2132.5240464344943,0.9806763285024155,6.323015931826602,5.397837632776935,1.0376991478325306,0.20489070025935532,8.322711779548342,3.124382541443763,6.9165470852017945,0.4442386068914413,1.439312426775292,0.2946859903381642,0.26345291479820626,2.0380138524200264,0.39059674502712477
346847,L,9.004137931034483,10.21971602434077,2100.012195121951,0.5233265720081136,5.8473032069970845,6.03985401459854,1.6499562682215743,0.09912536443148688,8.724648708867136,3.481203118758415,5.40102564102564,0.44169096209912534,-0.05686819793629102,0.2616632860040568,0.452991452991453,1.5949482641690416,0.5
400089,R,13.322857142857142,2.0914285714285716,2223.0238095238096,0.09523809523809523,6.1917757009345795,6.691588785046729,2.506542056074766,0.0,6.271868131868146,3.94657014822475,6.864999999999999,0.37383177570093457,5.136586359887389,0.5238095238095238,0.4166666666666667,1.8262427123047569,
