batter,cosine_real,cosine_null
112526,0.9899013482867938,0.009061822200035693
116338,0.9903658734992302,-0.23300703046730686
120074,0.9765147383618561,-0.14477570671471918
121347,0.9652681367572444,0.3497963030479494
133380,0.9742532406709696,-0.11340977271335925
134181,0.9784262862747153,0.2552700829492684
136860,0.9798507282752938,0.017764834352012156
150029,0.9550737966447954,0.25765388225735736
150212,0.9307259436695945,0.17933019311342505
150229,0.9509226222683984,0.015759662760669826
150359,0.9873892062940219,0.15252107289850703
217100,0.974848602044389,0.150711876103664
276519,0.9800572293208616,0.32201822282223425
285078,0.9555145729030508,0.3399852588005852
285079,0.988098288557994,0.011599955638748813
346874,0.9642787831741313,0.16592512297228057
400085,0.9713126288503475,-0.1937718160980521
400121,0.9607149966878994,0.2743780113419519
400284,0.9659734668900513,0.02524571275176495
405395,0.9233791105207385,0.5121260118424628
407781,0.9680076298033498,0.160588852254539
407793,0.9872918092894366,0.12588829238534555
407812,0.9664002882465436,-0.2685614998384659
407822,0.9885353096670716,0.021836006692510006
407862,0.963375624804254,0.06891231924888744
407893,0.9716878016385045,-0.3323543249568291
408042,0.967415141993064,-0.0647029259908567
408045,0.9766907753771754,0.346038026391792
408047,0.9711996153497484,0.09326206039272636
408234,0.9631152987466322,0.045607773895469536
408236,0.9644726343578287,0.14909428923073995
408242,0.9671916228483382,-0.055592807087485846
408252,0.9834703794009008,0.0281792812044461
408299,0.983539333022869,0.1978320932186037
408307,0.9674428536418664,0.42971280498322106
408314,0.9522172835889242,0.30224864740375784
421685,0.9893878768623433,0.12438685012056235
424325,0.9784006532941457,-0.08300945845017325
424825,0.9826584631490873,0.1710354848874722
425496,0.9815895682980581,0.07971712107063175
425509,0.9709428518369574,-0.07757476155240955
425543,0.9860586919124106,-0.20487467718052038
425549,0.991396013346673,0.1622459655325052
425557,0.9666905525975753,0.1523645956959147
425560,0.9441234838916596,-0.04770233116534197
425567,0.9840123848828223,0.04109800356949681
425664,0.9795402144452205,0.19306314410404404
425766,0.9642376328466289,0.10031662495814472
425772,0.9746382596912821,0.279133728472877
425783,0.9659464917364106,0.139537462942809
425784,0.9564509369019701,0.20161253779407956
425794,0.9758045830958679,0.1911772680251849
425796,0.9764398018458318,0.26769451581323106
425834,0.9568391047699201,0.0963588578253386
425835,0.9745928958063294,-0.011969225299587702
425844,0.9801236682846358,0.20760215766105142
425877,0.9757544661490005,-0.00012396111998297377
425900,0.9562553037801977,-0.2366076518501377
425902,0.957052630040515,0.3288395221958636
429664,0.9330378210132637,0.16764022680857907
429665,0.9740768971571746,0.26096301805500677
429666,0.9789606376099973,0.3726323598421502
429667,0.9665530866354675,0.12211129976650588
429711,0.9853847814567982,0.3329471937451428
429713,0.9720197345734439,-0.17666984226557247
429717,0.9843777269987105,-0.03415860263250395
429780,0.9541204516516152,0.17559300525224936
430001,0.9648274292706891,0.29184494741188727
430203,0.9780605261815336,-0.15256228103979944
430321,0.9614998511972933,0.1818732887115755
430404,0.9786793306016125,-0.2289702930568044
430603,0.9709124569455003,0.12364091256410234
430605,0.9543241522023089,-0.3222465817494453
430611,0.9914953450022963,0.5474688528352916
430613,0.9407402902983504,-0.12972746674675584
430637,0.9452050592325687,-0.021300725692971173
430652,0.9658162309941499,0.1122853489471447
430681,0.983919534432878,0.2194342166684648
430832,0.924357972672543,0.38419561170178773
430897,0.9788072467024002,0.007661573454206649
430910,0.9767736873259489,0.2419357472843794
430945,0.9505401176394113,0.3577633200868593
430947,0.9718646037240984,0.12250360609694706
430948,0.9798274226889536,0.077131189387068
431094,0.9533865916774563,-0.011155618269049192
