batter,name,stand,stratum,log_prior_pa,level_query,woba_level,pa_2024,woba_2024
444482,David Peralta,L,high,8.284756593190435,0.3287054012648897,0.335932104997476,260,0.3292307692307692
453568,Charlie Blackmon,L,high,8.54772239645106,0.3192282542563438,0.3645409390764454,499,0.32290342052313886
455117,Martín Maldonado,R,high,8.034955024502159,0.2843267137084919,0.2748765392093324,147,0.1814722222222222
456781,Donovan Solano,R,high,7.403061091090091,0.3228086190969695,0.3269390243902438,309,0.33313915857605175
457705,Andrew Mccutchen,R,high,8.475120414994329,0.3436125722732626,0.344365533069059,515,0.32452334630350194
457759,Justin Turner,R,high,8.414274137408396,0.3494696804191805,0.3658578713968958,539,0.3265679702048417
467793,Carlos Santana,L,high,8.591929537530255,0.3511558436054994,0.3364403192871728,594,0.32646700507614207
493329,Yuli Gurriel,R,high,8.196161139282902,0.3417022526818765,0.3267862658576944,65,0.2889692307692308
500743,Miguel Rojas,R,high,8.105609402299896,0.3120595386486875,0.2941065821256038,337,0.32704776119402984
501303,Ehire Adrianza,L,medium,7.247792581767846,0.2961851896320827,0.2910220797720798,28,0.2617142857142857
502054,Tommy Pham,R,high,8.264878262801748,0.3480781235562055,0.3405607621009269,478,0.2965878661087866
502110,J. D. Martinez,R,high,8.489410810403786,0.361497304080386,0.3794479638009049,495,0.3184704684317719
502671,Paul Goldschmidt,R,high,8.629628620746026,0.3637895790848516,0.3845861637468716,654,0.3098441358024691
514888,José Altuve,R,high,8.532081803909987,0.3207325031452938,0.3735559716200236,682,0.344275
516782,Starling Marte,R,high,8.364275084991524,0.3209638955064566,0.339476923076923,370,0.31308743169398906
518595,Travis D'Arnaud,R,high,7.8050670442584895,0.3275695691783704,0.3202744698205546,341,0.3188093841642229
518692,Freddie Freeman,L,high,8.59007183682881,0.3645690319251914,0.3936317649246791,638,0.3653720190779014
518735,Yasmani Grandal,L,high,8.257385655730436,0.3316858556134561,0.3367608300907911,243,0.308275
518792,Jason Heyward,L,high,8.242229891372231,0.3248536417172354,0.316209112457203,258,0.3002196078431372
518934,Dj Lemahieu,R,high,8.545391845774915,0.3558062067451472,0.3440276157137301,228,0.23862995594713654
519203,Anthony Rizzo,L,high,8.532278828834277,0.3532147337514192,0.3647085714285714,375,0.2848133333333333
519317,Giancarlo Stanton,R,high,8.231908243564177,0.364371216945353,0.3613661522086215,459,0.32992122538293217
521692,Salvador Pérez,R,high,8.292047637431354,0.3402831174305851,0.3224893510398396,652,0.3350576323987539
527038,Wilmer Flores,R,high,8.193676665955241,0.3236262965535019,0.3313928670168647,242,0.2622199170124481
541645,Avisaíl García,R,high,8.22389538017882,0.3148510750497094,0.3159957081545064,51,0.2741372549019608
542194,Christian Bethancourt,R,medium,6.9411900550683745,0.2973904387317433,0.2726979670861568,147,0.26335862068965515
542303,Marcell Ozuna,R,high,8.415603335654604,0.3632934857166601,0.3434010186005314,688,0.39453722627737225
542364,Rafael Ortega,L,medium,7.144407180321139,0.2993437243562411,0.2984976303317535,17,0.13294117647058823
542932,Jon Berti,R,medium,7.342131730584722,0.3125401138137614,0.3118146467919637,74,0.29997260273972604
543063,Brandon Crawford,L,high,8.383890344101816,0.3034767056034583,0.3133385142857143,80,0.24805000000000002
543228,Yan Gomes,R,high,8.013343181386672,0.3116594871069277,0.2967274834437086,96,0.18448421052631578
543257,Robbie Grossman,L,high,8.187021067343505,0.3194891132334786,0.3234252713609797,245,0.28340408163265307
543305,Aaron Hicks,L,high,8.01862546504575,0.3224626489478165,0.3234963768115942,63,0.19615873015873014
543309,Kyle Higashioka,R,medium,6.825460036255307,0.3153919016683888,0.2767445652173912,263,0.3139198473282443
543510,James Mccann,R,high,8.02322468471667,0.2980715280814481,0.2921911475409836,233,0.28836480686695276
543685,Anthony Rendon,R,high,8.211482916445066,0.3660196149374731,0.3650040738728951,238,0.26410504201680673
543760,Marcus Semien,R,high,8.609590040682205,0.3294426823085132,0.3332841510122196,718,0.3059078212290503
543807,George Springer,R,high,8.47782846789396,0.3467639433269915,0.358866000832293,614,0.29834257748776505
543877,Christian Vázquez,R,high,7.928766321626696,0.3103503799323944,0.2979693693693693,315,0.25008064516129036
545121,Ildemaro Vargas,L,medium,6.785587645007929,0.3005292108295391,0.2830260180995475,303,0.2709563758389262
