batter,name,stand,stratum,log_prior_pa,level_query,woba_level
444482,David Peralta,L,high,8.284756593190435,0.32197630600058297,0.335932104997476
453568,Charlie Blackmon,L,high,8.54772239645106,0.3185840609711392,0.3645409390764454
455117,Martín Maldonado,R,high,8.034955024502159,0.28649563705246717,0.2748765392093324
456781,Donovan Solano,R,high,7.403061091090091,0.3232736636865705,0.3269390243902438
457705,Andrew Mccutchen,R,high,8.475120414994329,0.34610675290845927,0.344365533069059
457759,Justin Turner,R,high,8.414274137408396,0.35412404282722404,0.3658578713968958
467793,Carlos Santana,L,high,8.591929537530255,0.3521043875618861,0.3364403192871728
493329,Yuli Gurriel,R,high,8.196161139282902,0.3391150772579984,0.3267862658576944
500743,Miguel Rojas,R,high,8.105609402299896,0.3088429807140382,0.2941065821256038
501303,Ehire Adrianza,L,medium,7.247792581767846,0.29955515023814805,0.2910220797720798
502054,Tommy Pham,R,high,8.264878262801748,0.35251400842914005,0.3405607621009269
502110,J. D. Martinez,R,high,8.489410810403786,0.3674673324124214,0.3794479638009049
502671,Paul Goldschmidt,R,high,8.629628620746026,0.36006652117708066,0.3845861637468716
514888,José Altuve,R,high,8.532081803909987,0.32021287106616036,0.3735559716200236
516782,Starling Marte,R,high,8.364275084991524,0.3212322734406504,0.339476923076923
518595,Travis D'Arnaud,R,high,7.8050670442584895,0.33114318598735926,0.3202744698205546
518692,Freddie Freeman,L,high,8.59007183682881,0.3662843751787766,0.3936317649246791
518735,Yasmani Grandal,L,high,8.257385655730436,0.3286338863216628,0.3367608300907911
518792,Jason Heyward,L,high,8.242229891372231,0.32548211568771146,0.316209112457203
518934,Dj Lemahieu,R,high,8.545391845774915,0.35516776711437636,0.3440276157137301
519203,Anthony Rizzo,L,high,8.532278828834277,0.35296325778983995,0.3647085714285714
519317,Giancarlo Stanton,R,high,8.231908243564177,0.3669775959651529,0.3613661522086215
521692,Salvador Pérez,R,high,8.292047637431354,0.34843027585544234,0.3224893510398396
527038,Wilmer Flores,R,high,8.193676665955241,0.32473495014366294,0.3313928670168647
541645,Avisaíl García,R,high,8.22389538017882,0.31796786642511493,0.3159957081545064
542194,Christian Bethancourt,R,medium,6.9411900550683745,0.30238504045119674,0.2726979670861568
542303,Marcell Ozuna,R,high,8.415603335654604,0.3700947490989917,0.3434010186005314
542364,Rafael Ortega,L,medium,7.144407180321139,0.30357148776602977,0.2984976303317535
542932,Jon Berti,R,medium,7.342131730584722,0.31585047473847483,0.3118146467919637
542963,Rob Brantly,L,low,4.61512051684126,0.244893612791809,0.25419
543063,Brandon Crawford,L,high,8.383890344101816,0.3056516057445885,0.3133385142857143
543228,Yan Gomes,R,high,8.013343181386672,0.3049425808785978,0.2967274834437086
543257,Robbie Grossman,L,high,8.187021067343505,0.32426216216705694,0.3234252713609797
543305,Aaron Hicks,L,high,8.01862546504575,0.3236826421491512,0.3234963768115942
543309,Kyle Higashioka,R,medium,6.825460036255307,0.3222040636099792,0.2767445652173912
543510,James Mccann,R,high,8.02322468471667,0.30019816271354705,0.2921911475409836
543685,Anthony Rendon,R,high,8.211482916445066,0.36963200667484397,0.3650040738728951
543760,Marcus Semien,R,high,8.609590040682205,0.3356942466681274,0.3332841510122196
543807,George Springer,R,high,8.47782846789396,0.34804588464756836,0.358866000832293
543877,Christian Vázquez,R,high,7.928766321626696,0.31050656402413834,0.2979693693693693
545121,Ildemaro Vargas,L,medium,6.785587645007929,0.2942730888242393,0.2830260180995475
545341,Randal Grichuk,R,high,8.327967858305488,0.3372775801584741,0.3234493594392071
545361,Mike Trout,R,high,8.34924780056679,0.3933129487256406,0.4224439185991481
547180,Bryce Harper,L,high,8.486940148245216,0.3676029637698174,0.3937018556701031
547989,José Abreu,R,high,8.600982717145921,0.3543495461157702,0.3513627667402502
553869,Elías Díaz,R,high,7.679713639966372,0.31064270484642775,0.299708275543227
553882,Omar Narváez,L,medium,7.703007682479236,0.29847299614456535,0.3151955736224028
553993,Eugenio Suárez,R,high,8.52456594574565,0.33036030411201434,0.3404833200953137
570482,Gio Urshela,R,high,7.768956044538332,0.3322372787412968,0.3204346723044397
571448,Nolan Arenado,R,high,8.591929537530255,0.3441814616896955,0.37058288472248
571466,Tucker Barnhart,L,high,7.9672801789422,0.27953804727163367,0.2951106102635229
571657,Kyle Farmer,R,high,7.517520850603031,0.2973679507100489,0.3079238716693855
571745,Mitch Haniger,R,high,7.884576510596324,0.33128149709545074,0.3390331450094162
571771,Enrique Hernández,R,high,8.117312461601975,0.3297338167127394,0.3095138764547896
571912,Luke Maile,R,medium,6.993932975223189,0.28540131177675065,0.2658448117539027
571970,Max Muncy,L,high,8.09559870137819,0.3497866504413867,0.3526672766087221
572138,Jon Singleton,L,low,5.099866427824199,0.3051934188940005,0.2598220858895705
572191,Michael Taylor,R,high,8.041412909393047,0.2952828630502806,0.294730199613651
572233,Christian Walker,R,high,7.8961806086154915,0.3491528013486369,0.3383183172002978
572761,Matt Carpenter,L,high,8.239593454305968,0.33841059939844387,0.352679957750198
573262,Mike Yastrzemski,L,high,7.646353722445999,0.3317818902492129,0.3359316443594646
575929,Willson Contreras,R,high,8.114623886420098,0.32036828293991537,0.3494973070017953
578428,Jose Iglesias,R,high,8.176110342237342,0.29187610493941707,0.3052971299943725
592178,Kris Bryant,R,high,8.374246182096304,0.32893106680377737,0.3690350796215093
592192,Mark Canha,R,high,8.170185652879642,0.32733338305522686,0.3372550240588735
592200,Curt Casali,R,high,7.2115567333138015,0.2975460286423896,0.3082075332348596
592206,Nick Castellanos,R,high,8.535425959677298,0.3243881838110233,0.3435820074641524
592273,Brandon Drury,R,high,7.936302693201959,0.32132262371668435,0.3193322603719599
592325,Ben Gamel,L,high,7.699842407396986,0.3067727277702743,0.3126180335296782
592348,Niko Goodrum,L,medium,7.333023014386481,0.29931189851726253,0.2974453891432309
592450,Aaron Judge,R,high,8.179199798423086,0.39860936491823656,0.4091643758765778
592518,Manny Machado,R,high,8.621012520055235,0.3826204353737553,0.3570667147493689
592626,Joc Pederson,L,high,8.239857411018601,0.3371103712351838,0.3427663674762407
592663,J. T. Realmuto,R,high,8.417593826193484,0.3416878071795232,0.3356141436464088
592669,Hunter Renfroe,R,high,8.07837810362652,0.3255666112274247,0.3283478125969594
592696,Eddie Rosario,L,high,8.294049640102028,0.300778383796652,0.3230862715678919
592885,Christian Yelich,L,high,8.534443544822764,0.34831260351737425,0.3654201730239874
593160,Whit Merrifield,R,high,8.415603335654604,0.3123142558721055,0.3219517271922055
593428,Xander Bogaerts,R,high,8.592115117933497,0.3363301255524571,0.3558891982182628
593871,Jorge Polanco,L,high,8.161089512845797,0.34114418143927827,0.3338249071693802
593934,Miguel Sanó,R,high,7.955074273262696,0.36048949134059216,0.3424699894699894
594807,Adam Duvall,R,high,8.104099056143582,0.3159514811948826,0.3231935288781372
595281,Kevin Kiermaier,L,high,8.124446855715847,0.28919598558663706,0.3072968888888889
