batter,embedding_index,n_pitches,swing_rate,stand,whiff_rate,contact_rate,chase_rate,zone_swing_rate,ev_mean,ev_p90,la_mean,bat_speed_mean,pull_rate,woba_level,prior_pa_L,prior_pa_R,n_pa_L,n_pa_R,log_prior_pa,stratum,obs_platoon_diff,name,stand_names,mean_cosine_real,mean_cosine_null
112526,1,448,0.4598214285714285,R,0.441747572815534,0.558252427184466,0.4193548387096774,0.4885496183206106,83.78703703703704,98.93,1.3148148148148149,,0.3673469387755102,0.1246859504132231,35.0,86.0,35.0,86.0,4.804021044733257,low,0.0084013289036544,Bartolo Colón,R,0.9540091521341862,0.06159624368610499
116338,2,2080,0.5326923076923077,R,0.2148014440433213,0.7851985559566786,0.3390970220941403,0.726660250240616,88.475,103.3,10.803398058252426,,0.4203980099502487,0.3040441696113074,171.0,395.0,171.0,395.0,6.340359303727752,medium,0.0085593160115478,Torii Hunter,R,0.8937226603722599,-0.03350083687388693
120074,3,4940,0.441497975708502,L,0.1994497936726272,0.8005502063273727,0.2665070133424563,0.6950917203767972,93.09636776390464,107.3,16.33144154370034,,0.507531865585168,0.3991414392059553,336.0,873.0,336.0,873.0,7.098375638590786,medium,0.0912228665521191,David Ortiz,L,0.9314523879068224,-0.07824117142411971
121347,4,3412,0.4533997655334115,R,0.2895927601809954,0.7104072398190046,0.2678279804028307,0.6698412698412698,90.869926199262,106.3,11.723247232472325,,0.4476614699331848,0.3318333333333333,271.0,587.0,271.0,587.0,6.755768921984255,medium,0.033937520823249,Alex Rodriguez,R,0.8852890574149084,-0.02929011628878128
133380,5,1809,0.5301271420674406,R,0.1657977059436913,0.8342022940563086,0.3469601677148847,0.7345029239766082,87.37037037037037,102.02,15.782716049382715,,0.4059405940594059,0.3087115009746589,121.0,392.0,121.0,392.0,6.2422232654551655,medium,-0.016429709900489,Aramis Ramírez,R,0.856744841589845,0.09211678407068946
134181,6,8202,0.4740307242136064,R,0.1687242798353909,0.831275720164609,0.3256838201205377,0.6386316872427984,89.02463768115942,103.2,13.38707729468599,,0.4115815691158156,0.3536983451536643,586.0,1529.0,586.0,1529.0,7.65728279297819,high,0.0457413587590988,Adrian Beltré,R,0.883040481289185,0.18366114082389437
136860,7,6170,0.4628849270664505,L,0.1740196078431373,0.8259803921568627,0.2993781462836837,0.6605800214822771,89.40817506193228,104.1,13.786127167630058,,0.5068744271310724,0.3310357142857142,441.0,1183.0,441.0,1183.0,7.393263094763838,medium,0.0112087107032162,Carlos Beltrán,L,0.895310941912209,0.05356509279939699
150029,8,5641,0.3816699166814394,R,0.2006502554575011,0.7993497445424989,0.2227470930232558,0.5330564209068882,90.20578817733993,105.49,14.963054187192116,,0.4166666666666667,0.3155825471698113,280.0,992.0,280.0,992.0,7.149131598557407,medium,0.0870464861751151,Jayson Werth,R,0.9011206712745234,-0.07586239543496288
150212,9,1522,0.5137976346911958,R,0.2212276214833759,0.7787723785166241,0.3506666666666667,0.6722797927461139,87.45338078291816,103.1,7.740213523131673,,0.3905109489051095,0.306375,112.0,296.0,112.0,296.0,6.013715156042802,low,0.0141529922779922,Michael Cuddyer,R,0.9113388778326803,0.07146072430461026
150229,10,2261,0.5612560813799203,L,0.1457840819542947,0.8542159180457053,0.4031496062992126,0.763874873864783,86.17530017152659,101.4,9.353344768439108,,0.457092819614711,0.2967052023121387,128.0,564.0,128.0,564.0,6.541029999189903,medium,0.0730444370567375,A. J. Pierzynski,L,0.8941203357108494,-0.07857311222592861
