anchor,anchor_name,method,rank,batter,name,stand,stratum,log_prior_pa,woba_level,obs_platoon_diff,similarity_or_distance
545361,Mike Trout,embedding,1,457706,Austin Jackson,R,high,7.256297239690681,0.3099364406779661,0.0260388673678035,0.5772245526313782
545361,Mike Trout,embedding,2,553993,Eugenio Suárez,R,high,8.52456594574565,0.3404833200953137,0.0338248935445409,0.5158155560493469
545361,Mike Trout,embedding,3,592325,Ben Gamel,L,high,7.699842407396986,0.3126180335296782,0.0147554181597244,0.5030773878097534
545361,Mike Trout,embedding,4,660670,Ronald Acuña,R,high,8.0106915391303,0.388418326693227,-0.0026015399367259,0.482280969619751
545361,Mike Trout,embedding,5,643265,Garrett Cooper,R,high,7.503289630675082,0.333773303916161,0.0188498106258365,0.47746026515960693
545361,Mike Trout,embedding,6,571875,Jake Lamb,L,high,7.822444729489319,0.3251446893787575,0.0686952759120768,0.43842118978500366
545361,Mike Trout,embedding,7,488771,Jason Castro,L,high,7.527793987721444,0.3001797631862217,0.074482989638079,0.4226541221141815
545361,Mike Trout,embedding,8,624413,Pete Alonso,R,high,7.963807953231451,0.3630125260960334,-0.0053232234547568,0.41793060302734375
545361,Mike Trout,stats,1,670541,Yordan Álvarez,L,high,7.607381425639791,0.4079184890656063,0.0157726924967409,2.4532684093628845
545361,Mike Trout,stats,2,502671,Paul Goldschmidt,R,high,8.629628620746026,0.3845861637468716,0.0576236552486187,2.6580515296204745
545361,Mike Trout,stats,3,665742,Juan Soto,L,high,8.104099056143582,0.3999860901118838,0.0598193585896473,2.9992821430262833
545361,Mike Trout,stats,4,605141,Mookie Betts,R,high,8.614501373883236,0.3817313974591652,0.009832459045584,3.1061677740602853
545361,Mike Trout,stats,5,458015,Joey Votto,L,high,8.438149984075784,0.382299198960814,0.0323574184892494,3.5175453204890657
545361,Mike Trout,stats,6,656555,Rhys Hoskins,R,high,7.96032362914884,0.3605062849162011,0.0414125684837916,3.5525355665790515
545361,Mike Trout,stats,7,660670,Ronald Acuña,R,high,8.0106915391303,0.388418326693227,-0.0026015399367259,3.5574187179374848
545361,Mike Trout,stats,8,669257,Will Smith,R,high,7.578145472419466,0.3578613101330604,-0.0246240609802552,3.6627290168118414
665742,Juan Soto,embedding,1,571970,Max Muncy,L,high,8.09559870137819,0.3526672766087221,0.0081971537510482,0.41415828466415405
665742,Juan Soto,embedding,2,641820,Trey Mancini,R,high,8.122371243406553,0.3312894893111638,0.0004363378080486,0.4126228988170624
665742,Juan Soto,embedding,3,608336,Joey Gallo,L,high,8.046549357283078,0.3367664958360025,0.0107031348890386,0.3897205889225006
665742,Juan Soto,embedding,4,657041,Lane Thomas,R,high,7.363913501405819,0.3236512365250475,0.0743626250868332,0.37200242280960083
665742,Juan Soto,embedding,5,425783,Shin-Soo Choo,L,high,7.98514393119862,0.3502431880108992,0.0497234747250227,0.3627021014690399
665742,Juan Soto,embedding,6,656941,Kyle Schwarber,L,high,8.27664912542186,0.3520921119592875,0.0573357716982523,0.3574868440628052
665742,Juan Soto,embedding,7,457727,Cameron Maybin,R,high,7.685703061234547,0.3154862132352941,-0.0145483409484543,0.34905245900154114
665742,Juan Soto,embedding,8,605204,J. D. Davis,R,high,7.590346945602565,0.3353013144590495,-0.000862817806047,0.33757051825523376
665742,Juan Soto,stats,1,607043,Brandon Nimmo,L,high,8.018954683155718,0.361577872900889,0.0293967603483397,2.5990548832972973
665742,Juan Soto,stats,2,592885,Christian Yelich,L,high,8.534443544822764,0.3654201730239874,0.0411494673586451,2.8123651393149793
665742,Juan Soto,stats,3,502054,Tommy Pham,R,high,8.264878262801748,0.3405607621009269,0.0270980838165524,2.8785959028219885
665742,Juan Soto,stats,4,502671,Paul Goldschmidt,R,high,8.629628620746026,0.3845861637468716,0.0576236552486187,2.963895286322353
665742,Juan Soto,stats,5,545361,Mike Trout,R,high,8.34924780056679,0.4224439185991481,-0.0272743619175437,2.9992821430262833
665742,Juan Soto,stats,6,670541,Yordan Álvarez,L,high,7.607381425639791,0.4079184890656063,0.0157726924967409,3.124968841784339
665742,Juan Soto,stats,7,458015,Joey Votto,L,high,8.438149984075784,0.382299198960814,0.0323574184892494,3.18084200761516
