anchor,anchor_name,p_throws,x_bin,z_bin,n_pitches,quantity,anchor_value,league_value,delta
545361,Mike Trout,L,0.0,0.0,2555,p_swing,0.13731915870738912,0.19269523317972884,-0.05537607447233972
545361,Mike Trout,L,0.0,0.0,2555,p_contact,0.1498055974806464,0.13455061754717623,0.015254979933470164
545361,Mike Trout,L,0.0,0.0,2555,q,0.25684663626545795,0.22508242287298702,0.03176421339247093
545361,Mike Trout,L,0.0,1.0,1524,p_swing,0.1952029255352331,0.27710077224653884,-0.08189784671130573
545361,Mike Trout,L,0.0,1.0,1524,p_contact,0.5346661213022829,0.4874944447163758,0.04717167658590704
545361,Mike Trout,L,0.0,1.0,1524,q,0.27955684049196755,0.26692525751047874,0.01263158298148881
545361,Mike Trout,L,0.0,2.0,1188,p_swing,0.17655028872173553,0.28907179132331506,-0.11252150260157953
545361,Mike Trout,L,0.0,2.0,1188,p_contact,0.7434114266535022,0.730326152074714,0.013085274578788275
545361,Mike Trout,L,0.0,2.0,1188,q,0.25132513058807715,0.2502255532868608,0.0010995773012163479
545361,Mike Trout,L,0.0,3.0,656,p_swing,0.09277960607995067,0.24414552048210106,-0.1513659144021504
545361,Mike Trout,L,0.0,3.0,656,p_contact,0.7975891154123153,0.802962601606098,-0.0053734861937827505
545361,Mike Trout,L,0.0,3.0,656,q,0.22042283814445865,0.22181076989168438,-0.0013879317472257346
545361,Mike Trout,L,0.0,4.0,289,p_swing,0.010460759651726447,0.09490539989141164,-0.08444464023968519
545361,Mike Trout,L,0.0,4.0,289,p_contact,0.6048548502080581,0.6062215853275597,-0.001366735119501583
545361,Mike Trout,L,0.0,4.0,289,q,0.21278948238873563,0.2014667638600079,0.011322718528727738
545361,Mike Trout,L,1.0,0.0,2432,p_swing,0.3566314774025518,0.374937813541681,-0.018306336139129187
545361,Mike Trout,L,1.0,0.0,2432,p_contact,0.4430161933096435,0.3525583829994665,0.09045781031017697
545361,Mike Trout,L,1.0,0.0,2432,q,0.392996982499761,0.2886639841054689,0.10433299839429211
545361,Mike Trout,L,1.0,1.0,2202,p_swing,0.557784926499427,0.5781999333594062,-0.020415006859979212
545361,Mike Trout,L,1.0,1.0,2202,p_contact,0.8640926500729925,0.7995623337052133,0.06453031636777917
545361,Mike Trout,L,1.0,1.0,2202,q,0.47232966702245344,0.3727750098134825,0.09955465720897094
545361,Mike Trout,L,1.0,2.0,2114,p_swing,0.565626388804039,0.6377603858768898,-0.07213399707285073
545361,Mike Trout,L,1.0,2.0,2114,p_contact,0.8973747378068931,0.8816117126359309,0.015763025170962286
545361,Mike Trout,L,1.0,2.0,2114,q,0.4091555302647227,0.3531110914285553,0.05604443883616739
545361,Mike Trout,L,1.0,3.0,1418,p_swing,0.4137807466390287,0.6065528834287279,-0.19277213678969923
