batter,name,stand,stratum,prior_pa,delta_pred,delta_eb,rank_model,rank_eb,rank_gap,rank_model_pooled,rank_eb_pooled
656896,Emmanuel Rivera,R,medium,248.0,0.0142240876092836,0.023648082634323775,175,92,83,175,100
656941,Kyle Schwarber,L,high,1065.0,-0.0447114115194355,-0.0461184245669341,211,196,15,535,520
656976,Pavin Smith,L,medium,264.0,-0.0364733074795255,-0.039811938559970395,152,184,-32,476,508
657041,Lane Thomas,R,high,490.0,0.015049600192998,0.03986838790895375,102,8,94,102,8
657061,Cole Tucker,L,medium,140.0,-0.015038038691421,0.005798723155151508,50,37,13,374,341
657077,Alex Verdugo,L,high,746.0,-0.0331370935543398,-0.05112856032764579,100,210,-110,424,534
657136,Connor Wong,R,medium,132.0,0.0099954645394138,0.0030204825738391894,287,313,-26,290,356
657557,Paul Dejong,R,high,641.0,0.0066117409115201,0.017629852446164496,317,232,85,322,244
657656,Ramón Laureano,R,high,601.0,0.0140453855235019,0.031355154783930916,178,37,141,178,41
657757,Gavin Sheets,L,low,84.0,-0.0363722748748419,-0.04659788375226703,151,198,-47,475,522
658668,Edward Olivares,R,medium,258.0,0.0165701397566623,0.02006119658303307,56,144,-88,56,154
660271,Shohei Ohtani,L,high,888.0,-0.0435687628163339,-0.041887331143048434,206,191,15,530,515
660644,Vidal Bruján,L,low,96.0,-0.004479628880777,0.010720207056300557,16,30,-14,338,309
660670,Ronald Acuña,R,high,669.0,0.008437015955209,-0.0024453796889762347,306,320,-14,311,369
660688,Keibert Ruiz,L,medium,294.0,-0.0067183869950516,0.005455503152641261,20,39,-19,342,344
660707,Elehuris Montero,R,medium,184.0,0.0167788949447674,0.018794730030343043,52,215,-163,52,225
660766,Juan Yepez,R,low,101.0,0.0101595485486248,0.013453647962501647,283,267,16,286,284
660821,Jesús Sánchez,L,medium,186.0,-0.0507960243634899,-0.04733025488358955,220,199,21,544,523
660844,,L,low,0.0,-0.009853756833309,0.012107345410929449,25,18,7,348,293
661388,William Contreras,R,medium,329.0,0.0197629544527498,0.04134645352631722,14,7,7,14,7
661531,Brian Serven,R,low,52.0,0.0105317758812098,0.024529367730152796,280,81,199,283,89
662139,Daulton Varsho,L,medium,369.0,-0.035806670212815,-0.023537914655495318,144,96,48,468,420
663330,Jahmai Jones,R,low,37.0,0.0128121457273472,0.022057940636858286,221,114,107,222,122
663368,Blake Perkins,L,low,58.0,-0.0090821266348555,0.00673271143608567,24,36,-12,347,338
663457,Lars Nootbaar,L,medium,218.0,-0.048418534382728,-0.03080383994926361,218,151,67,542,475
663527,Tyler Nevin,R,medium,113.0,0.0125887910683424,0.03213159190305309,228,34,194,230,38
663538,Nico Hoerner,R,medium,416.0,0.0144171412738605,0.012762467519178644,169,272,-103,169,289
663586,Austin Riley,R,high,584.0,0.0127840984182148,0.0138182558480609,222,262,-40,223,279
663609,Luken Baker,R,low,42.0,0.0160155690534052,0.015778519415899472,72,248,-176,72,260
663611,Nick Madrigal,R,medium,247.0,0.0099609597709497,0.01813056057767304,290,223,67,293,234
663616,Trevor Larnach,L,medium,164.0,-0.0458199001017665,-0.03899428373575614,214,181,33,538,505
