pc,variable,r_raw,r_partial,n
pc1,swing,-0.1764291616565117,-0.17530223724026167,1762
pc1,contact,0.3817985683847354,0.41600650496142383,1762
pc1,split_inplay,0.1265880059794836,0.14350561020542232,1762
pc1,ev,-0.4281939507990471,-0.44158067587797867,1762
pc1,la,0.1639669662341959,0.1737227864000918,1762
pc1,spray,-0.31215715544196515,-0.30951199366549,1762
pc1,swing_rate,-0.05688956560573759,-0.059432972583224566,1762
pc1,whiff_rate,-0.2702866407360907,-0.2984917085304135,1757
pc1,contact_rate,0.2702866407360907,0.2984917085304136,1757
pc1,chase_rate,-0.03053891852706384,-0.037045317698297164,1752
pc1,zone_swing_rate,-0.10993065080766003,-0.1033927070755087,1761
pc1,ev_mean,-0.2965555232869112,-0.2964706245406878,1720
pc1,ev_p90,-0.32942681609508234,-0.3772514930442813,1720
pc1,la_mean,0.009336854194751724,0.026688792808976475,1720
pc1,bat_speed_mean,-0.5681954807455164,-0.567452419578396,571
pc1,pull_rate,-0.0835502345221107,-0.07716896850195186,1721
pc1,woba_level,-0.0468728817910449,-0.02665636982623024,1759
pc1,obs_platoon_diff,-0.039917423621338564,-0.04114362888278287,1626
pc1,log_prior_pa,-0.044481773685914244,-0.007756062200720225,1762
pc2,swing,-0.3037150476125222,-0.30870340500698806,1762
pc2,contact,-0.4625681520741773,-0.522091993510181,1762
pc2,split_inplay,-0.6032402921461265,-0.6568704377681854,1762
pc2,ev,0.15208664932060895,0.12428856556335768,1762
pc2,la,0.48061554850718896,0.4726426557228084,1762
pc2,spray,0.19093554887705452,0.1821744021335105,1762
pc2,swing_rate,-0.1461700129053283,-0.14158116107174762,1762
pc2,whiff_rate,0.14995984507660984,0.19164228708835862,1757
pc2,contact_rate,-0.14995984507660984,-0.19164228708835868,1757
pc2,chase_rate,-0.2897904863552907,-0.27980867061244147,1752
pc2,zone_swing_rate,0.0903301736843328,0.07224736981602173,1761
pc2,ev_mean,0.24510430299946384,0.2226154855759877,1720
pc2,ev_p90,0.2047670512925771,0.17442933320433754,1720
pc2,la_mean,0.2856131906132706,0.26589136251492096,1720
pc2,bat_speed_mean,0.19600913574412177,0.19020116969606493,571
pc2,pull_rate,0.14623349188120677,0.1325649578317284,1721
pc2,woba_level,0.16321248850435233,0.12794790625262517,1759
pc2,obs_platoon_diff,0.023769210906222603,0.02634557912147185,1626
pc2,log_prior_pa,0.10283411362359512,0.00197043889059003,1762
pc3,swing,0.45138405122289643,0.45578080216918737,1762
pc3,contact,-0.21979518095587924,-0.20479064305152522,1762
pc3,split_inplay,-0.31307469377814884,-0.3028506672855369,1762
pc3,ev,0.38330311837796077,0.4431842136874495,1762
pc3,la,-0.17236563797764273,-0.16149629503582894,1762
pc3,spray,-0.5635533898637684,-0.559858676856683,1762
pc3,swing_rate,0.2796235039797066,0.2764950320357648,1762
pc3,whiff_rate,0.21901266267568717,0.20375205057835427,1757
pc3,contact_rate,-0.21901266267568714,-0.20375205057835435,1757
pc3,chase_rate,0.2538179635254347,0.24552326324158827,1752
pc3,zone_swing_rate,0.18746348715601852,0.20810210305707683,1761
pc3,ev_mean,0.05389715096545428,0.08718240110879814,1720
pc3,ev_p90,0.1048972278349553,0.20045145487233978,1720
pc3,la_mean,-0.19278513082157148,-0.1747990648855584,1720
pc3,bat_speed_mean,0.35489178072720273,0.3537358044005181,571
pc3,pull_rate,-0.15707640452315977,-0.14659789716147006,1721
pc3,woba_level,-0.07416485600118179,-0.033718027887485576,1759
pc3,obs_platoon_diff,0.005517898691655747,0.0036822332347991554,1626
pc3,log_prior_pa,-0.08327021680321421,0.0029347871183239022,1762
pc4,swing,-0.21345931738163906,-0.21604439842642975,1762
pc4,contact,-0.647894630651897,-0.6067326535675656,1762
pc4,split_inplay,-0.5228252190411943,-0.47713539495046414,1762
pc4,ev,-0.686730612170769,-0.6431458478044316,1762
pc4,la,-0.3527936777753744,-0.3202215681827199,1762
pc4,spray,-0.1124645375505591,-0.08202924379987699,1762
pc4,swing_rate,-0.07813040038460002,-0.10314213343352117,1762
pc4,whiff_rate,0.3147021060640717,0.23388837792345918,1757
pc4,contact_rate,-0.3147021060640718,-0.2338883779234593,1757
pc4,chase_rate,-0.05252007632841257,-0.10773406030561151,1752
pc4,zone_swing_rate,-0.14005036471128224,-0.08002617870222328,1761
pc4,ev_mean,-0.32894096915697596,-0.23964963851761123,1720
pc4,ev_p90,-0.255736070687134,-0.0458068103504982,1720
pc4,la_mean,-0.1960161676933208,-0.09214412119194468,1720
pc4,bat_speed_mean,-0.12461922986368597,-0.1031179846988914,571
pc4,pull_rate,-0.06097207685888664,-0.009490314326132118,1721
pc4,woba_level,-0.31538252824825347,-0.15909083505273106,1759
pc4,obs_platoon_diff,-0.02235345893858546,-0.03385113599366903,1626
pc4,log_prior_pa,-0.34432077789758125,-0.02574409724585181,1762
