head,stat,r_partial,ci_low,ci_high,n
swing,swing_rate,0.5990439821425961,0.5540756585601544,0.6534139210548975,1762
swing,whiff_rate,0.08148245186538795,0.050541410517703146,0.11236383150075425,1757
swing,contact_rate,-0.08148245186538795,-0.11236383150075425,-0.05054141051770315,1757
swing,chase_rate,0.5197191736438043,0.47687978868669806,0.5685309830945232,1752
swing,zone_swing_rate,0.4809169781868562,0.4415261224351995,0.5252341427984788,1761
swing,ev_mean,0.019210288506062385,-0.01658839300755757,0.055805431397069345,1720
swing,ev_p90,0.07922154036133328,0.04458798534309613,0.11610538595362083,1720
swing,la_mean,0.025003016046357008,-0.01138303968103424,0.06146202555023999,1720
swing,bat_speed_mean,0.2242102572232676,0.14975810812707324,0.2990284065185451,571
swing,pull_rate,0.033652820272120645,0.0027449694957261037,0.0650638239694199,1721
swing,woba_level,0.0022124684632384905,-0.025441151467415195,0.030108080652425314,1759
swing,obs_platoon_diff,-0.004116206076337203,-0.040287573736309555,0.031025414759154567,1626
contact,swing_rate,0.08886554829341795,0.05306867595138248,0.1263817958492734,1762
contact,whiff_rate,-0.49584927221369923,-0.546170169706112,-0.4532096418367172,1757
contact,contact_rate,0.4958492722136994,0.4532096418367171,0.5461701697061117,1757
contact,chase_rate,0.1455020733058074,0.11169006612047665,0.17939506942461197,1752
contact,zone_swing_rate,-0.01578173573046268,-0.05169554028343084,0.025602094359127962,1761
contact,ev_mean,-0.09988530613228383,-0.14139315425461604,-0.06096321532619967,1720
contact,ev_p90,-0.2676881156374618,-0.30766221076064754,-0.2334799815085679,1720
contact,la_mean,-0.010331577119992759,-0.05163090528780061,0.032459749935667824,1720
contact,bat_speed_mean,-0.3895062349955532,-0.4542583073652292,-0.3192797857383967,571
contact,pull_rate,-0.043637590012188886,-0.08090567427654184,-0.008634488128843414,1721
contact,woba_level,0.07475698639472105,0.04362739336819131,0.10712542367757419,1759
contact,obs_platoon_diff,-0.012378623529600745,-0.048599216997591316,0.022004164293957386,1626
split_inplay,swing_rate,0.025277873867721443,-0.00888408426646597,0.06098996307853352,1762
split_inplay,whiff_rate,-0.39267176061602,-0.43520587307293485,-0.35666092543994055,1757
split_inplay,contact_rate,0.3926717606160202,0.3566609254399405,0.4352058730729346,1757
split_inplay,chase_rate,0.12906859129287238,0.09879306298227958,0.15979799531434183,1752
split_inplay,zone_swing_rate,-0.10206102155157264,-0.13405062647063298,-0.06540219846195722,1761
split_inplay,ev_mean,-0.06423737754518366,-0.09970936726292394,-0.03268927911449308,1720
split_inplay,ev_p90,-0.20207369990424115,-0.23748172284641542,-0.16973089231661856,1720
split_inplay,la_mean,-0.11401917679279813,-0.15041954236770008,-0.07791818400950455,1720
split_inplay,bat_speed_mean,-0.2624948727639837,-0.33136974100388483,-0.191487208172548,571
split_inplay,pull_rate,-0.02936111859244401,-0.06158908571181173,0.000724619567434821,1721
split_inplay,woba_level,0.015693827975913618,-0.011920586338095913,0.04107384499753365,1759
split_inplay,obs_platoon_diff,-0.012047952413833163,-0.04415871975234389,0.01665841937825709,1626
ev,swing_rate,0.17945726292170833,0.14276918024686827,0.2188070873993069,1762
ev,whiff_rate,0.10771908538171923,0.07264848588142854,0.14177061047365402,1757
ev,contact_rate,-0.10771908538171929,-0.14177061047365408,-0.07264848588142855,1757
ev,chase_rate,0.16876229566326456,0.13688836931954076,0.20050118474178058,1752
ev,zone_swing_rate,0.17351759162528127,0.13361408234067243,0.21717435772579904,1761
ev,ev_mean,0.4665404411936733,0.42141658166132956,0.5195378174979846,1720
ev,ev_p90,0.3861984014403323,0.33530530584687995,0.44399659826707033,1720
ev,la_mean,0.02875028094350108,-0.01185570922917856,0.07047553569428819,1720
ev,bat_speed_mean,0.6209947885501431,0.5717110696867232,0.670454963511532,571
ev,pull_rate,0.022753613283947993,-0.0136411155557289,0.059034388940344955,1721
ev,woba_level,0.156568381772203,0.1306691380478154,0.1848845008463044,1759
