batter,embedding_index,swing,contact,split_inplay,ev,la,spray
430945,82,0.59586644,0.70568675,0.4223998,84.28841,12.292163,2.8899088
430947,83,0.5127585,0.7630522,0.4510844,81.1051,6.9909124,5.0677238
430948,84,0.34876674,0.7204066,0.4436143,77.67159,8.26015,2.348546
431094,85,0.43004194,0.70538795,0.43544775,80.253555,13.778667,3.4380448
431145,86,0.37164924,0.5809571,0.3729446,82.15175,7.1437473,4.0162687
431148,87,0.4032077,0.5139932,0.3076168,75.43019,5.8326874,-7.691375
431151,88,0.39508605,0.590705,0.35033435,82.29684,14.13077,-1.0230813
431171,89,0.46420026,0.69220996,0.4104046,82.50226,5.5927167,-0.93985593
433217,90,0.5231603,0.6220982,0.37452787,81.37004,8.540154,-0.94506395
433584,91,0.6738936,0.36141637,0.24498563,75.92962,-17.63041,-2.1699955
434158,92,0.3628695,0.6317935,0.36442232,82.246315,15.812578,5.3981104
434538,93,0.5632904,0.58939844,0.41033715,82.53232,13.1597185,3.8424332
434540,94,0.5099158,0.6611952,0.40035462,83.70117,8.43282,4.937043
434563,95,0.36010736,0.6991356,0.41310388,80.224106,11.840338,0.45887944
434567,96,0.38371664,0.5887737,0.3882582,81.56399,9.815961,4.3689733
434604,97,0.5056034,0.5925004,0.35547373,86.75641,5.9190583,-5.760666
434628,98,0.5809785,0.5217088,0.35696274,79.333,1.473697,0.72360426
434636,99,0.41900766,0.7680635,0.44942036,81.41101,12.351995,-0.6624814
434658,100,0.504307,0.68121487,0.40487927,81.230225,9.991651,-0.221552
434670,101,0.50847584,0.66785353,0.42354453,85.25203,7.395298,4.305704
434671,102,0.4841132,0.5949594,0.36737928,77.48689,0.14779963,-5.9757547
434778,103,0.50397956,0.6733341,0.4173892,86.192795,7.5810604,4.60446
435044,104,0.39168978,0.5093092,0.26472676,78.31383,1.7248235,-10.514326
435062,105,0.49389273,0.696529,0.3976325,85.54616,6.7467713,-4.846279
435063,106,0.42692468,0.5884563,0.36091235,83.44406,15.183881,8.115946
435064,107,0.4935846,0.6222811,0.38861176,78.70271,9.86822,10.075259
435078,108,0.5178882,0.6922435,0.42306402,77.4113,9.316185,1.4417042
435079,109,0.46550375,0.7242979,0.41028515,80.4102,17.33395,3.384999
435180,110,0.5334126,0.66135925,0.37284723,78.453445,5.721421,-5.370917
435263,111,0.44395137,0.72483164,0.4445453,83.67445,12.0358095,8.482223
435401,112,0.49226415,0.6717483,0.39443752,80.85816,6.9883246,-5.3323836
435522,113,0.4744968,0.67149436,0.4158191,82.49817,10.6817255,3.0549679
435559,114,0.48069012,0.71897084,0.43388423,80.93186,16.151705,7.9470024
435622,115,0.48834676,0.6440155,0.40933543,85.55688,2.796144,-2.4665723
435623,116,0.49621373,0.7571717,0.46548957,81.84314,-0.8108795,-0.7922822
443558,117,0.49542683,0.62309146,0.39628142,87.693855,11.239236,2.463033
444379,118,0.43064463,0.6259003,0.37135798,80.38666,7.590292,3.3427236
444432,119,0.5311645,0.63900095,0.42733473,85.75643,8.546304,2.1720653
444482,120,0.5092537,0.68815184,0.41049436,85.43181,6.691807,0.77736676
444489,121,0.45385498,0.6611437,0.3752244,82.22075,17.128597,2.6173544
444836,122,0.33764386,0.59524673,0.3884143,81.75505,5.3978667,-2.7027032
444843,123,0.5016356,0.66930115,0.38751173,82.168,11.319653,-0.38995594
444876,124,0.5177898,0.70578784,0.437865,79.91688,12.222675,1.76084
445055,125,0.49834216,0.7031885,0.39727774,81.392914,6.0108333,-3.1094866
445095,126,0.49595574,0.44162586,0.3197845,73.460754,9.775458,5.375943
445213,127,0.36800244,0.79494125,0.48444083,75.877686,10.125419,3.9172602
445988,128,0.39580163,0.76206803,0.48422176,81.47694,7.305579,-0.8398028
446192,129,0.50381804,0.5213739,0.34328693,85.87406,7.4169545,1.8729829
446225,130,0.5075818,0.7077738,0.3892721,80.524605,3.1794703,-9.110752
446263,131,0.44942278,0.64821446,0.39784327,84.84308,12.931719,6.038942
446308,132,0.48665532,0.6837766,0.42484406,82.39399,9.526109,2.6674378
446334,133,0.47658962,0.67546976,0.4174241,84.88673,14.840647,4.9570775
446359,134,0.44061372,0.6994451,0.40951747,80.12081,14.48064,8.274894
446381,135,0.47358677,0.72709703,0.4323276,79.54556,11.717769,0.8706635
446386,136,0.47818944,0.63302636,0.3580998,80.87468,12.955945,4.505561
446481,137,0.47568312,0.5439755,0.34196013,82.43858,13.121736,2.6537354
446653,138,0.48777246,0.61151123,0.37595722,81.42573,8.502908,1.0767705
446868,139,0.56670386,0.66876,0.331456,80.86047,25.50372,9.816651
448170,140,0.4738094,0.6349457,0.319608,82.55685,14.931976,-2.2655003
448306,141,0.4415309,0.556151,0.3584253,82.19606,7.8410873,-0.7249867
448602,142,0.4700553,0.5791737,0.36792982,82.42186,11.111387,4.200784
448605,143,0.4908506,0.53094095,0.347447,82.22189,11.60971,7.9252687
448674,144,0.35501152,0.52628076,0.20221077,81.47118,18.768398,-10.6715355
448801,145,0.47635052,0.6108948,0.377464,85.80566,12.883636,2.16034
448802,146,0.4879164,0.59408206,0.36568114,80.19612,10.582205,-1.121155
449107,147,0.4568796,0.7248746,0.43868858,80.221405,8.242612,1.3715641
449168,148,0.3503469,0.4476015,0.21299928,76.79275,-1.4625984,1.1056643
449181,149,0.564205,0.6698162,0.38891602,83.118706,8.189883,-2.1898882
449786,150,0.506895,0.6408139,0.37095886,81.463455,15.700832,3.268582
450203,151,0.42168188,0.48627335,0.32920435,75.885284,-3.8466024,3.2197118
450314,152,0.39697802,0.7123643,0.4872575,82.100075,5.8941035,5.6970572
450317,153,0.59071463,0.6233058,0.40374482,85.1292,14.267741,7.778597
450641,154,0.43282613,0.17910421,0.17537124,80.196846,15.915778,3.7380455
450665,155,0.4943891,0.2598991,0.21126404,77.45259,4.3885365,-1.0848687
451089,156,0.49472073,0.61681396,0.35550806,83.01027,6.976551,-1.0445867
451109,157,0.5338395,0.6454281,0.3130076,79.84002,21.532196,4.0724654
451192,158,0.5504315,0.6631556,0.36954078,83.36395,6.774131,-8.555627
451594,159,0.43212652,0.6269085,0.38153797,81.309715,8.28535,3.2477605
451705,160,0.45923054,0.6967702,0.3893776,80.44925,10.421848,-7.227205
451713,161,0.45312354,0.6004494,0.35487,88.251015,11.883351,-1.9898639
452035,162,0.45992777,0.5574741,0.3046286,80.916435,15.598601,3.9487164
452095,163,0.46163288,0.58492005,0.3428446,84.57037,10.816311,3.5386434
452104,164,0.44941476,0.6365534,0.36715692,81.526794,8.34501,3.8899097
452220,165,0.4360263,0.68292284,0.42514887,81.4716,14.149396,7.6621137
452234,166,0.40495193,0.6648833,0.40838787,84.21966,8.613916,6.7575555
452239,167,0.49608722,0.563485,0.35612565,80.57544,7.4972606,3.8443518
452252,168,0.49632424,0.71203446,0.44430768,85.779,8.972864,0.5403292
452254,169,0.508454,0.6544165,0.45237485,85.59928,3.8726046,-0.07394108
452655,170,0.4339392,0.7244906,0.42786238,81.20502,9.228411,-0.2617323
452657,171,0.365586,0.5042994,0.35016474,78.74186,-0.54300964,-2.438199
452672,172,0.3929884,0.63007164,0.36188558,78.00705,7.71905,-2.0648825
452678,173,0.48711997,0.6879574,0.42337555,83.87325,10.969552,6.623373
452718,174,0.29515725,0.36988986,0.23986006,79.580925,9.944135,-10.875751
453056,175,0.4851333,0.72331494,0.43191737,81.84581,7.1751475,3.1160812
453064,176,0.4615861,0.71040964,0.44512492,85.74336,11.682791,6.2020264
453203,177,0.46085888,0.73497117,0.4484636,79.506065,9.276205,1.058744
453211,178,0.35500666,0.5094512,0.3326621,79.82475,4.475557,4.1488376
453269,179,0.6033651,0.63398314,0.3440531,83.13165,4.813911,-1.7243952
453286,180,0.4520465,0.58126855,0.3911504,79.375084,-2.2809887,-1.0270683
453307,181,0.625413,0.7283842,0.41896638,79.911285,4.361333,-3.1744404
453329,182,0.36860013,0.40727445,0.28127792,78.25328,6.7932043,-3.3245418
453385,183,0.5187325,0.50625485,0.37473086,79.83383,-0.5784281,8.424537
453400,184,0.48437452,0.62547195,0.36528808,82.71577,9.7094345,1.0347772
453527,185,0.5457484,0.67809486,0.36284876,74.93559,-2.7404134,-10.030352
453539,186,0.38213924,0.6748248,0.43538672,79.56821,1.3138692,8.717379
453562,187,0.41288728,0.46495578,0.33495802,80.020874,9.965183,-0.05718379
453568,188,0.50344163,0.71809435,0.42542496,83.66015,14.146097,3.500151
453895,189,0.4530435,0.587248,0.38649672,78.10392,9.398757,9.156112
453923,190,0.4286893,0.65497816,0.37458867,80.681496,13.044569,-1.6641432
453943,191,0.4506067,0.6537854,0.4059034,84.24619,18.794819,6.3052487
454560,192,0.34777173,0.6630636,0.40384567,79.55068,10.248617,-2.0402913
454975,193,0.47388926,0.64324915,0.42735133,80.28969,5.677243,-2.6826718
