stratum,n_hitters,pa,mean_pred,mean_obs,intercept,slope,slope_se,slope_z_vs_one
low,380,32781.0,0.28715409588794105,0.2924853421189103,0.053226192367530234,0.8332082083368523,0.1662145053035087,-1.0034731406779744
medium,280,36877.0,0.309775304505618,0.30234688288092854,0.06768389888109469,0.7575264412195192,0.12228389086413208,-1.9828740896860226
high,489,111114.0,0.3303721580936806,0.3186091401623558,-0.008616831046241282,0.990476840108932,0.08929344801183038,-0.10665015298553919
all,1149,180772.0,0.3183333386585174,0.3105544221450225,0.04647452996833251,0.8295703280389802,0.05832922197491894,-2.921857453101347
