stratum,n_hitters,n_boot,rmse_difference,rmse_ci_low,rmse_ci_high,rmse_favours_model,rank_difference,rank_ci_low,rank_ci_high,rank_favours_model,rank_se
low,207,2000,-0.0009114086780551006,-0.002266471749094845,0.000505341948874533,False,0.005687585085324354,-0.07943827304333281,0.08550647886429848,False,0.042062926827394105
medium,167,2000,-0.001624916771290362,-0.0034970786563166584,0.00020721047925178313,False,0.009668167567579489,-0.08237344784497914,0.09426193668797989,False,0.04555309997454169
high,171,2000,-0.002153751620498634,-0.004986874447453671,0.0005236850787884575,False,0.05407185029339029,-0.058672551607261016,0.1732618254931946,False,0.059375878670964076
all,545,2000,-0.0015856269800537254,-0.0028297410080631515,-0.0003842122162764299,True,0.02569484762210711,-0.03044249338740673,0.08453721468680364,False,0.029014756055358085
