stratum,model,n_hitters,weight,mean_obs,mean_pred,sd_obs,sd_pred,rmse,rank_corr_weighted
low,delta_pred,207,17065.802434879926,-0.007778445745174412,-0.00504478178107673,0.08445338428764011,0.023561742186856447,0.07851422763243632,0.39749514852798407
medium,delta_pred,167,22500.032272316872,-0.0037288197536755672,-0.005070359850584507,0.06510519528784109,0.024916764796979705,0.058358629824577,0.3854519730005028
high,delta_pred,171,28207.931955115935,0.008523012869846856,-0.0003867184870030058,0.05985736384005137,0.02302020595747738,0.05749886790000061,0.2624713206759974
all,delta_pred,545,67773.76666231274,0.0003507638002582054,-0.003114553737174733,0.06871001072015405,0.023852982645148672,0.06370981581957903,0.3435421217710239
low,delta_route_a,207,17065.802434879926,-0.007778445745174412,-0.0037242016862003395,0.08445338428764011,0.02068202783671859,0.07936506153192993,0.3538864728590879
medium,delta_route_a,167,22500.032272316872,-0.0037288197536755672,-0.002718095898543383,0.06510519528784109,0.020561056987684085,0.059721592448430484,0.41675876998425393
high,delta_route_a,171,28207.931955115935,0.008523012869846856,-0.00045470969893980813,0.05985736384005137,0.02008293412442155,0.05874602937728322,0.2700219645998524
all,delta_route_a,545,67773.76666231274,0.0003507638002582054,-0.0020294010892613983,0.06871001072015405,0.020390703642965614,0.06485780776756235,0.3464754124075859
