opponent,stratum,n_hitters,n_batters,rmse_a,rmse_b,rmse_difference,ci_low,ci_high,favours_a_share
c3_gbm_full,low,380,239,0.05839958664911976,0.05867962487235527,-0.00028003822323550975,-0.0026505727077412427,0.0020008958292344124,0.5945
c3_gbm_full,medium,280,238,0.04739590705965682,0.049488485344163766,-0.0020925782845069435,-0.004705494457377533,0.00045465548658734636,0.943
c3_gbm_full,high,489,318,0.04064287003061045,0.040806922984289215,-0.00016405295367876577,-0.001745076766459745,0.0013427118684196093,0.588
c3_gbm_full,all,1149,604,0.045738827433289116,0.04634174207058626,-0.0006029146372971417,-0.0017439597680333108,0.0005921769337124798,0.8445
