ev_bin,la_bin,train_mass,obs_mass,conditional_contribution
0,0,0.012654156287636071,0.015038835191864832,-0.00038017590680200736
0,1,0.004160400579608659,0.0034006586712669105,-2.959815711271503e-05
0,2,0.0023085213862518005,0.002170808811998052,2.9969235779084676e-05
0,3,0.0012307192589108504,0.0011060394707518594,-9.194372808067683e-06
0,4,0.001046164100119592,0.0009409589527291937,3.7466539912303156e-06
0,5,0.0010113622701760972,0.0010565153153450596,-2.507556111893702e-05
0,6,0.0010461641001195917,0.001040007263542793,-2.6456448898367516e-05
0,7,0.0007139648142953261,0.0006355599943872624,3.213797862505585e-05
0,8,0.0005030446328196021,0.000445717398661197,-3.268259957988167e-05
0,9,0.0007382206351650344,0.0007181002533985951,-7.140751224168296e-06
0,10,0.0008141519004962951,0.0007923864865087947,1.5377887730382035e-05
0,11,0.0007983328868856159,0.0006768301238929288,-3.0191407576380496e-05
0,12,0.0005958495126689207,0.0005117496058702633,-4.278736020469655e-05
0,13,0.0008985199730865848,0.0007346083052008617,2.7697866164147218e-05
0,14,0.0009291033994005648,0.0007758784347065282,5.2635837684706885e-05
0,15,0.0006295967417050366,0.0005612737612770629,-8.071422618611599e-07
0,16,0.0008932469685496917,0.0008088945383110612,2.7023730849641045e-05
0,17,0.0009090659821603711,0.0007098462274974619,5.3222345971968535e-05
0,18,0.0011558425944869684,0.00100699115993826,-7.173624553311009e-06
0,19,0.0010197990774351263,0.0008749267455201274,-3.994886536041793e-06
0,20,0.0009554684220850303,0.0008749267455201274,6.43768381794373e-07
0,21,0.0014163290186094875,0.001370168299588124,8.41310767176474e-05
0,22,0.0017327092908230738,0.0017581075169413882,-1.0795809907641443e-05
0,23,0.0017126718735828799,0.002880655039495514,-6.2857555141469545e-06
1,0,0.0068496328934241416,0.008113707460814013,-0.0003416530068192109
1,1,0.004409286393750014,0.0038298680181258404,-7.1502468842824855e-06
1,2,0.003162748121228484,0.0030787516611227124,2.112500795584302e-06
1,3,0.001704235066323851,0.0016012810248198558,9.218653755267532e-06
1,4,0.0016704878372877353,0.0016755672579300556,-4.846405725261479e-05
1,5,0.0014363664358496816,0.0013288981700824577,1.016924483225677e-05
1,6,0.0013287971432970622,0.0014031844031926572,5.702575305689759e-06
1,7,0.001026126682879398,0.001040007263542793,-5.7523295631611827e-05
1,8,0.0006738899798149386,0.0006603220720906622,-2.0274825498099706e-05
1,9,0.0009639052293440594,0.000891434797322394,-4.3442696696541585e-06
1,10,0.0010187444765277476,0.0008831807714212608,7.076733978044168e-06
1,11,0.0010103076692687186,0.0009739750563337267,3.9614180084046915e-05
1,12,0.0006833813879813463,0.000594289864881596,5.3585746486207046e-05
1,13,0.0010820205309704648,0.000949212978630327,1.0006032539428162e-05
1,14,0.0010430002973974557,0.0010152451858393933,0.00011802716781517315
1,15,0.0007044734061289186,0.0008336566160144611,2.4779497919988106e-05
1,16,0.000983942646584253,0.0010069911599382597,2.7069139691843e-05
1,17,0.0009997616601949324,0.0008914347973223941,-8.357547847672983e-06
1,18,0.0013266879414823049,0.0009987371340371266,-4.592797312853478e-05
1,19,0.0012032996353190063,0.0013536602477858574,-2.0097380414036563e-05
1,20,0.0010925665400442512,0.0009574670045314603,-4.488352821166223e-05
1,21,0.001732709290823074,0.001659059206127789,0.00012905496080628233
1,22,0.0021334576356269496,0.0019149340090629202,1.2609326839978881e-05
1,23,0.0028031292118123733,0.004069234769258706,-8.441741462241732e-06
2,0,0.0041002883278880775,0.004927653462976567,-0.000233656790606051
2,1,0.0032966824364655685,0.0028228768581875807,-2.077805987900434e-05
2,2,0.0030129947923807194,0.0025670020552524494,6.0702805870219334e-05
2,3,0.001904609238725789,0.0016755672579300556,2.613799307141328e-05
2,4,0.0018223503679502566,0.0016508051802266556,4.786707690258717e-05
2,5,0.0018244595697650139,0.002113030630690119,6.424084623330155e-05
2,6,0.001810749757969092,0.001840647775952721,-5.627207814999969e-06
2,7,0.0013604351705184207,0.001238103885169992,3.85849520215467e-05
2,8,0.0009153935876046427,0.0009079428491246607,3.0250635427778134e-05
2,9,0.001187480621708327,0.0011225475225541256,2.3725805259971646e-05
2,10,0.0012729032952059952,0.0011225475225541258,4.813959409565892e-05
2,11,0.0012359922634477436,0.0011225475225541258,-2.0112025122848632e-05
2,12,0.0007930598823487228,0.0008171485642121945,6.072365318677963e-05
2,13,0.0011853714198935697,0.0010812773930484593,8.708816342812686e-05
2,14,0.0011632248008386185,0.0009904831081359933,0.00010490431610463364
2,15,0.0008162611023110524,0.0007098462274974619,1.8489479404307788e-05
2,16,0.0011558425944869681,0.0011638176520597922,-7.504853190821344e-06
2,17,0.0011358051772467743,0.00098222908223486,-1.7762940545312637e-05
2,18,0.0014057830095357015,0.0015187407658085231,-5.92854335268969e-05
2,19,0.001435311834942303,0.001279374014675658,-8.996679451125244e-05
2,20,0.0011969720298747346,0.0011060394707518592,-8.883485569011405e-05
2,21,0.0018434423860978289,0.0019149340090629204,-3.620110121021982e-05
2,22,0.0020248337421669518,0.0021873168638003185,9.479429092280798e-05
2,23,0.0028664052662550907,0.004259077364984772,5.622344836200201e-06
3,0,0.0032196965702269284,0.0037473277591145077,-0.0001085763794621333
3,1,0.002755672170980336,0.002253349071009385,4.6278921414517825e-05
3,2,0.0025289329758939327,0.0021212846565912525,2.2884463188365253e-05
3,3,0.001668378635472978,0.0016838212838311886,1.7141286929315787e-05
3,4,0.0018803534178560809,0.0015600108953141897,4.597839375832229e-05
3,5,0.0019921411140382144,0.0017003293356334555,5.233627883587432e-05
3,6,0.0019278104586881188,0.0018158856982493214,7.627610441257276e-05
3,7,0.0015365535220506505,0.0014609625845005902,5.8711630228437716e-06
3,8,0.0010060892656392042,0.0008419106419155944,4.6902042086444755e-05
3,9,0.001465895261256283,0.0014279464808960572,1.5935481427250888e-05
3,10,0.0013899639959250223,0.0014196924549949239,2.6798071094148983e-05
3,11,0.0014036738077209442,0.0012711199887745247,1.682121818070608e-05
3,12,0.000878482555846391,0.0008831807714212608,6.130273594428772e-05
3,13,0.001367817376870071,0.0013206441441813244,8.317794062537354e-06
3,14,0.0013794179868512361,0.0013866763513903906,4.007386213704484e-05
3,15,0.0008679365467726049,0.0008914347973223941,-1.1456746871439515e-05
3,16,0.0013530529641667703,0.001361914273686991,-7.543677462930422e-05
3,17,0.0012475928734289083,0.0013536602477858576,-0.0001088843523174145
3,18,0.0016631056309360849,0.001700329335633455,-8.149298099014462e-05
3,19,0.0015924473701417173,0.0014196924549949239,-1.5631340758403096e-05
3,20,0.0013477799596298774,0.0011968337556643254,3.74146738515001e-05
3,21,0.002021669939444816,0.0018489018018538544,-0.0001237222091201416
3,22,0.0023391048125657806,0.0020469984234810527,-1.3043040545911877e-05
3,23,0.0029676469533634385,0.00440764983120517,-4.777084191592895e-06
4,0,0.0026438844747982025,0.0031612919201340454,-7.819932830565061e-05
4,1,0.0026343930666317943,0.002368905433625251,7.630761855283813e-05
4,2,0.002193569887347531,0.0019314420608651873,4.613396948083376e-05
4,3,0.001484878077589098,0.001279374014675658,1.8820092903415134e-05
4,4,0.0016662694336582206,0.001667313232028922,6.962188478152204e-05
4,5,0.0017875485380067619,0.0015600108953141897,5.306018831565511e-06
4,6,0.0017706749234887042,0.0016260431025232557,2.7682997518070227e-05
4,7,0.0014194928213316234,0.0013123901182801913,3.620529165943602e-05
4,8,0.0009723420366030884,0.00100699115993826,2.476077940005558e-05
4,9,0.0015439357284023007,0.0015269947917096564,4.9563214136737794e-05
4,10,0.00159033816832696,0.0014362005067971905,8.967521887433521e-06
4,11,0.00149858788938502,0.001361914273686991,-2.1430016922246885e-05
4,12,0.001031399687416291,0.0008584186937178608,5.3841860873167675e-05
4,13,0.0014922602839407481,0.0016260431025232557,1.8911270200275344e-05
4,14,0.0014796050730522048,0.0014609625845005904,-1.2023158148593017e-05
4,15,0.0009723420366030882,0.001097785444850726,-3.539432823149482e-05
4,16,0.0014015646059061869,0.0014692166104017235,-1.485539015330681e-05
4,17,0.0013298517442044406,0.0011225475225541258,-0.00011925462437672633
4,18,0.0017168902772123947,0.001576518947116456,4.968714562266795e-05
4,19,0.001617757791918804,0.0016590592061277885,2.7658987438952624e-07
4,20,0.0014827688757743408,0.0014692166104017235,-2.081106974956863e-06
4,21,0.002229426318198404,0.0020965225788878526,-1.667975810415991e-05
4,22,0.00253842438406034,0.00249271582214225,-5.132510759193189e-05
4,23,0.003136383098544018,0.004275585416787037,1.6743747465334454e-06
5,0,0.002092328200239184,0.0024514456926365835,-1.0032113551263747e-05
5,1,0.0025436973885972335,0.0023936675113286504,3.2017152029652825e-05
5,2,0.00210287420931297,0.001906679983161787,-1.4939789275320923e-05
5,3,0.0014026192068135655,0.001271119988774525,1.1843627577157659e-05
5,4,0.0014943694857555054,0.0011720716779609255,6.923817788986917e-06
5,5,0.0015776829574384165,0.0011638176520597922,3.1607259256525994e-05
5,6,0.001665214832750842,0.0015930269989187227,8.36567724615687e-05
5,7,0.001507024696644049,0.0013536602477858576,3.2205851489339345e-05
5,8,0.0009997616601949324,0.000949212978630327,1.899756420050397e-05
5,9,0.0015534271365687084,0.001370168299588124,6.845915460547282e-05
5,10,0.001520734508439971,0.0015352488176107895,4.4277317234579476e-05
5,11,0.0015470995311244367,0.0013454062218847243,1.4978548921683184e-05
5,12,0.0009913248529359036,0.0007841324606076614,7.596042927006944e-05
5,13,0.0014954240866628843,0.0015022327140062565,1.0108122512168788e-05
5,14,0.0016029933792155034,0.00148572466220399,-1.1156539799211656e-05
5,15,0.0010430002973974557,0.0010152451858393933,-4.83099387835974e-05
5,16,0.00149858788938502,0.0016177890766221224,-0.00012321809857731756
5,17,0.0014258204267758954,0.0015847729730175892,-4.5379067466872286e-05
5,18,0.0018107497579690915,0.001543502843511923,0.00010447485241114806
5,19,0.0017611835153222967,0.001576518947116456,2.9396710711911653e-05
5,20,0.0015354989211432716,0.001609535050720989,2.2371271665245034e-05
5,21,0.0024150360778970414,0.0021625547860969186,-2.125009080307361e-05
5,22,0.0027514537673508214,0.0027485906250773818,-1.8294792492093387e-05
5,23,0.0032049321575236284,0.004820351126261834,1.9604876709071382e-05
