stratum,n_hitters,n_boot,rmse_difference,rmse_ci_low,rmse_ci_high,rmse_favours_model,rank_difference,rank_ci_low,rank_ci_high,rank_favours_model,rank_se
low,207,2000,-0.0008508338994936138,-0.0018959196663664041,0.00021902108741703362,False,0.043608675668896146,-0.03963853170848156,0.11852083267663607,False,0.04014978704591599
medium,167,2000,-0.001362962623853485,-0.002885822408189253,0.00010386890466236737,False,-0.031306796983751106,-0.12621366278762738,0.052744199133849305,False,0.0456171440861317
high,171,2000,-0.001247161477282606,-0.0034598692648877775,0.0009481366942183735,False,-0.007550643923855016,-0.10500192056616614,0.08901746479650456,False,0.05014395823334867
all,545,2000,-0.0011479919479833178,-0.00216001692002927,-0.00016646419041552656,True,-0.0029332906365620026,-0.05422492905526228,0.0496131409659179,False,0.026666812489469238
