balls,strikes,take_mass_drawn,take_mass_exact,take_mass_gap
0,0,0.7506451569893352,0.7513646330673636,-0.0007194760780284246
0,1,0.532250402391784,0.5297147208075743,0.0025356815842096374
0,2,0.48636022956612535,0.4980503534860512,-0.011690123919925827
1,0,0.5961524105767038,0.6009864472264098,-0.004834036649706009
1,1,0.4619898144405827,0.4620058652618142,-1.6050821231570252e-05
1,2,0.4164291748939299,0.41657862492050735,-0.00014945002657745093
2,0,0.6026948026049985,0.603688986941177,-0.000994184336178542
2,1,0.42274203255738274,0.4216768260814903,0.0010652064758924747
2,2,0.3314467922783133,0.3472088277780013,-0.01576203549968798
3,0,0.9187795542437469,0.9205303386001141,-0.0017507843563671958
3,1,0.47576381386880784,0.4706811894923323,0.005082624376475598
3,2,0.2719720000067202,0.26954834558610674,0.0024236544206134875
