grouping,balls,strikes,n_pitches,observed,predicted,gap,relative_gap,stand,p_throws,in_zone,all
count,0,0,180133,0.3150672003464107,0.30684538469616135,-0.008221815650249376,-0.026095435009450798,,,,
count,0,1,92243,0.4883622605509361,0.4885890590807634,0.00022679852982726567,0.000464406339612335,,,,
count,0,2,48696,0.5044356826022671,0.5140520298386138,0.009616347236346634,0.019063574540837635,,,,
count,1,0,67644,0.43072556324285965,0.4311973392763253,0.000471776033465654,0.001095305395653168,,,,
count,1,1,71099,0.5432003263055739,0.5452720694609375,0.0020717431553636256,0.0038139578623857077,,,,
count,1,2,70047,0.5753137179322455,0.5802050461774176,0.004891328245172133,0.008502019146618337,,,,
count,2,0,22441,0.42671895191836373,0.4340594524395155,0.0073405005211517604,0.017202190078860344,,,,
count,2,1,36244,0.5774473016223375,0.581024559165187,0.0035772575428495434,0.006194950660950779,,,,
count,2,2,59237,0.6430778061009167,0.650307003356458,0.007229197255541275,0.011241559243621004,,,,
count,3,0,6807,0.0987219039224328,0.10735003513568667,0.00862813121325387,0.08739834697711174,,,,
count,3,1,14895,0.5508559919436052,0.5556761161347132,0.0048201241911079995,0.00875024373266955,,,,
count,3,2,35858,0.7038596686931786,0.718361722325947,0.014502053632768352,0.020603615007084575,,,,
handedness,,,53106,0.46699054720747185,0.4675078657520365,0.00051731854456466,0.0011077709124052756,L,L,,
handedness,,,249830,0.4713044870511948,0.47139412337069253,8.963631949771012e-05,0.00019018770658971783,L,R,,
handedness,,,136118,0.48342614496245906,0.485319021247915,0.0018928762854559245,0.003915543884377453,R,L,,
handedness,,,266290,0.48363813887115553,0.4858749922771954,0.0022368534060398515,0.004625055855315341,R,R,,
zone,,,356440,0.2840421950398384,0.2914205688689605,0.007378373829122098,0.02597633012970922,,,0.0,
zone,,,348904,0.6760971499323596,0.6711480098261801,-0.004949140106179528,-0.007320161173101627,,,1.0,
count_x_zone,0,0,83358,0.1552340507209866,0.15377457568219938,-0.0014594750387872113,-0.009401771273819502,,,0.0,
count_x_zone,0,0,96775,0.4527408938258848,0.43869427643251724,-0.014046617393367544,-0.031025731461248554,,,1.0,
count_x_zone,0,1,50850,0.2799016715830875,0.28393333173959284,0.004031660156505357,0.014403844513335025,,,0.0,
count_x_zone,0,1,41393,0.7444495446089918,0.7400021901729412,-0.004447354436050599,-0.005974017269882929,,,1.0,
count_x_zone,0,2,32893,0.3305262517860943,0.345210714096032,0.014684462309937696,0.04442752196107254,,,0.0,
count_x_zone,0,2,15803,0.8664177687780801,0.8654851373954537,-0.0009326313826263366,-0.0010764222713733566,,,1.0,
count_x_zone,1,0,30314,0.22101999076334367,0.2264425188582053,0.005422528094861628,0.024534106965318717,,,0.0,
count_x_zone,1,0,37330,0.6010179480310742,0.5974694428432926,-0.003548505187781603,-0.005904158435544983,,,1.0,
count_x_zone,1,1,35668,0.30977346641247056,0.3210056131514861,0.01123214673901557,0.036259227974224574,,,0.0,
count_x_zone,1,1,35431,0.7781885919110384,0.7710386570154945,-0.007149934895543941,-0.009187920473089271,,,1.0,
count_x_zone,1,2,43421,0.3851592547384906,0.3941592998888376,0.00900004515034697,0.0233670748907687,,,0.0,
count_x_zone,1,2,26626,0.885412754450537,0.8836036922225027,-0.0018090622280343416,-0.0020431851912467605,,,1.0,
count_x_zone,2,0,9214,0.20968092033861516,0.21548054184675827,0.005799621508143116,0.02765927151968461,,,0.0,
count_x_zone,2,0,13227,0.577908822862327,0.5863227080682798,0.008413885205952765,0.01455919147293789,,,1.0,
count_x_zone,2,1,15995,0.3196623944982807,0.32932876788066834,0.009666373382387627,0.030239319822274614,,,0.0,
count_x_zone,2,1,20249,0.7810756086720332,0.7798429789190453,-0.0012326297529878794,-0.0015781183528231898,,,1.0,
count_x_zone,2,2,31544,0.4224258179051484,0.43855573925511065,0.016129921349962273,0.0381840329503347,,,0.0,
count_x_zone,2,2,27693,0.894413750767342,0.8915044855654242,-0.00290926520191781,-0.003252706255267064,,,1.0,
count_x_zone,3,0,2469,0.03523693803159174,0.04634830481148396,0.011111366779892225,0.315332926201769,,,0.0,
count_x_zone,3,0,4338,0.13485477178423236,0.14206955384717962,0.007214782062947261,0.053500383912932006,,,1.0,
count_x_zone,3,1,5689,0.27069783793285285,0.2789709926004519,0.008273154667599036,0.030562322664916184,,,0.0,
count_x_zone,3,1,9206,0.7239843580273735,0.726670624910122,0.0026862668827485336,0.003710393536771643,,,1.0,
count_x_zone,3,2,15025,0.44785357737104825,0.46891376557832426,0.02106018820727601,0.047024718058303175,,,0.0,
count_x_zone,3,2,20833,0.8884942159074545,0.8982664672082504,0.009772251300795953,0.010998666199323723,,,1.0,
overall,,,705344,0.4779752858179839,0.47925575717386953,0.0012804713558856595,0.0026789488784850508,,,,all
trained_hitters,,,659783,0.47777829983494574,0.4784514378284681,0.0006731379935223658,0.001408891935349323,,,,trained
