arm,mean_pred_woba,n_rows,rmse_decisive,rank_decisive,rmse_low,rank_low,degenerate
block,0.3089139041086665,1279,0.04715094029869868,0.4529374141302658,0.05917324571851967,0.24023272000005932,False
bilinear,0.30753012379953015,1279,0.0473058907103092,0.4576245831606558,0.05838864581861325,0.25588745494529036,False
meanweight,0.3107991941668868,1279,0.047489500199877445,0.4565312976831276,0.059554305678534904,0.2255724479785602,False
dim64,0.3120360424435019,1279,0.04764697358403229,0.4633808468989815,0.059280728087438624,0.2503139128876924,False
nospray,0.31222744984125617,1279,0.04782815434282211,0.45177866222066626,0.05956132276939859,0.23578518496187006,False
dim16,0.3119243485397472,1279,0.04790163885090004,0.45148693342196755,0.05925287739265443,0.252945316926486,False
baseline,0.3125821482989713,1279,0.047930613361441624,0.45910288820904444,0.05923029855668104,0.2592411358329265,False
invfreq,0.2620195710433917,1279,0.06066851287304733,0.3939530811941649,0.07105831567557809,0.23322446125539784,True
